Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.486857E-6	6.833080E-8	3.982035E-2	8.991894E-2
1.205000E+2	1.038499E-6	9.830285E-8	2.346162E-1	1.457335E-1
1.210000E+2	1.480452E-6	1.098890E-7	1.565213E-1	1.146285E-1
1.215000E+2	1.490595E-6	1.722462E-7	1.307454E-1	1.168845E-1
1.220000E+2	1.530965E-6	1.728287E-7	3.801081E-1	2.395925E-1
1.225000E+2	2.083042E-6	2.584871E-7	8.671610E-2	2.360607E-1
1.230000E+2	3.085085E-6	2.320020E-7	5.858007E-1	3.090516E-1
1.235000E+2	4.946124E-6	3.035920E-7	-2.745429E-1	3.700257E-1
1.240000E+2	9.266391E-6	3.747246E-7	4.219344E-1	3.888042E-1
1.245000E+2	2.653254E-5	3.313244E-7	-8.986466E-2	3.230502E-1
1.250000E+2	6.239263E-5	6.023569E-7	1.854126E+0	1.684905E-1
1.255000E+2	2.419665E-5	3.650504E-7	-1.237369E-1	5.180834E-1
1.260000E+2	1.107408E-5	3.511703E-7	1.688696E-1	2.529379E-1
1.265000E+2	4.379581E-6	2.764183E-7	6.717531E-1	4.494667E-1
1.270000E+2	2.920074E-6	2.781115E-7	-4.180391E-1	3.255152E-1
1.275000E+2	2.330266E-6	2.501362E-7	3.748079E-1	1.824984E-1
1.280000E+2	2.210220E-6	2.385819E-7	1.364270E-1	1.263168E-1
1.285000E+2	2.254887E-6	1.283029E-7	3.398773E-1	1.065334E-1
1.290000E+2	2.016500E-6	1.232075E-7	5.269670E-1	4.409097E-2
1.295000E+2	2.175937E-6	1.058124E-7	2.421019E-1	6.894784E-2
1.300000E+2	2.020565E-6	9.268683E-8	2.965601E-1	4.406245E-2
1.305000E+2	2.381051E-6	7.532364E-8	1.711930E-1	4.910313E-2
1.310000E+2	2.556873E-6	6.676467E-8	2.558135E-1	3.769969E-2
1.315000E+2	2.366598E-6	4.806964E-8	2.971294E-1	3.776127E-2
1.320000E+2	2.872792E-6	3.504527E-8	3.326130E-1	2.321901E-2
1.325000E+2	2.798757E-6	4.941270E-8	3.019374E-1	2.892302E-2
1.330000E+2	3.133783E-6	3.793320E-8	3.349633E-1	2.994352E-2
1.335000E+2	3.278923E-6	6.130371E-8	3.425594E-1	3.824178E-2
1.340000E+2	3.441666E-6	5.637375E-8	3.016096E-1	3.681384E-2
1.345000E+2	3.725081E-6	4.487233E-8	3.180658E-1	2.244455E-2
1.350000E+2	4.151865E-6	6.129629E-8	3.428235E-1	2.967815E-2
1.355000E+2	4.691438E-6	6.001411E-8	3.872099E-1	1.834579E-2
1.360000E+2	4.980679E-6	7.548472E-8	3.948642E-1	1.753638E-2
1.365000E+2	5.760933E-6	5.613517E-8	4.781778E-1	1.547592E-2
1.370000E+2	6.509950E-6	7.977973E-8	5.264762E-1	1.974269E-2
1.375000E+2	7.403571E-6	8.393198E-8	6.296948E-1	1.868245E-2
1.380000E+2	8.704131E-6	1.527435E-7	7.402584E-1	1.748455E-2
1.385000E+2	1.013458E-5	1.344288E-7	9.220990E-1	1.254917E-2
1.390000E+2	1.181791E-5	1.857432E-7	1.140891E+0	1.900390E-2
1.395000E+2	1.256541E-5	2.631504E-7	1.440880E+0	1.539027E-2
1.400000E+2	1.240104E-5	2.488623E-7	1.686147E+0	1.428411E-2
1.405000E+2	1.118134E-5	2.056922E-7	2.012078E+0	1.963308E-2
1.410000E+2	9.686734E-6	1.520371E-7	2.216490E+0	1.541811E-2
1.415000E+2	8.206638E-6	1.621480E-7	2.361210E+0	1.573073E-2
1.420000E+2	6.741652E-6	1.550613E-7	2.466920E+0	2.317454E-2
1.425000E+2	6.108099E-6	1.240709E-7	2.585581E+0	2.051054E-2
1.430000E+2	5.451292E-6	9.155959E-8	2.652947E+0	2.476976E-2
1.435000E+2	4.590753E-6	7.403073E-8	2.684512E+0	3.229729E-2
1.440000E+2	4.109497E-6	1.042914E-7	2.803777E+0	3.569163E-2
1.445000E+2	3.684748E-6	9.953159E-8	2.828491E+0	3.456118E-2
1.450000E+2	3.271530E-6	7.845124E-8	2.537273E+0	2.931494E-1
1.455000E+2	3.015079E-6	5.923505E-8	2.804888E+0	2.708664E-2
1.460000E+2	2.841385E-6	7.107413E-8	2.818410E+0	3.164910E-2
1.465000E+2	2.675396E-6	6.819391E-8	2.594681E+0	2.944470E-1
1.470000E+2	2.475033E-6	6.198230E-8	2.521197E+0	2.855056E-1
1.475000E+2	2.149192E-6	5.343206E-8	2.228252E+0	3.826509E-1
1.480000E+2	2.182415E-6	6.555173E-8	2.288072E+0	4.030030E-1
1.485000E+2	1.947329E-6	7.819320E-8	1.286175E+0	5.644115E-1
1.490000E+2	1.915164E-6	5.155016E-8	2.226455E+0	3.892297E-1
1.495000E+2	1.922156E-6	6.953113E-8	1.914240E+0	4.647295E-1
