Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.231307E-6	5.750330E-8	2.025671E-1	7.541826E-2
1.205000E+2	1.413698E-6	8.908096E-8	1.449176E-1	1.190231E-1
1.210000E+2	1.447564E-6	8.790848E-8	2.596189E-1	1.031878E-1
1.215000E+2	1.448133E-6	1.334467E-7	2.046619E-1	1.026802E-1
1.220000E+2	1.669233E-6	1.252321E-7	3.327654E-1	1.431475E-1
1.225000E+2	2.085753E-6	2.093455E-7	1.676028E-1	2.178362E-1
1.230000E+2	2.424200E-6	1.041948E-7	1.440915E+0	8.893192E-2
1.235000E+2	4.075285E-6	2.691938E-7	-3.620160E-1	3.266643E-1
1.240000E+2	7.736913E-6	3.003482E-7	2.963439E-1	3.678882E-1
1.245000E+2	1.734433E-5	5.636884E-7	-4.028700E-1	3.926772E-1
1.250000E+2	4.770442E-5	1.316694E-6	3.128091E-1	4.043640E-1
1.255000E+2	2.177016E-5	6.002432E-7	-1.883367E-1	3.826972E-1
1.260000E+2	8.075890E-6	3.070525E-7	1.433831E-1	4.318712E-1
1.265000E+2	4.015597E-6	2.591074E-7	-5.331506E-1	3.338711E-1
1.270000E+2	2.784234E-6	2.733509E-7	1.666481E-1	3.011413E-1
1.275000E+2	2.138479E-6	2.471619E-7	2.446278E-1	1.669052E-1
1.280000E+2	2.170704E-6	1.491300E-7	-1.387578E-1	7.445844E-2
1.285000E+2	1.948546E-6	1.380295E-7	2.463021E-1	7.109854E-2
1.290000E+2	1.850721E-6	1.276875E-7	2.451267E-1	9.725711E-2
1.295000E+2	2.182419E-6	8.460861E-8	2.522742E-1	5.926153E-2
1.300000E+2	2.091423E-6	8.476464E-8	1.585712E-1	5.437580E-2
1.305000E+2	2.302996E-6	6.551037E-8	2.869623E-1	6.155046E-2
1.310000E+2	2.311387E-6	5.390496E-8	1.965259E-1	4.742190E-2
1.315000E+2	2.660672E-6	5.736967E-8	2.609026E-1	2.850288E-2
1.320000E+2	2.916776E-6	4.185709E-8	2.658567E-1	2.527686E-2
1.325000E+2	3.118767E-6	3.851412E-8	3.283147E-1	2.473589E-2
1.330000E+2	3.090948E-6	5.216102E-8	3.268034E-1	2.503340E-2
1.335000E+2	3.433577E-6	6.443967E-8	3.960721E-1	2.969897E-2
1.340000E+2	3.925178E-6	9.092733E-8	4.353845E-1	2.584297E-2
1.345000E+2	4.414597E-6	8.539130E-8	4.698108E-1	2.546963E-2
1.350000E+2	4.836336E-6	6.795260E-8	4.554251E-1	2.476511E-2
1.355000E+2	5.393997E-6	7.962408E-8	5.201406E-1	2.159074E-2
1.360000E+2	6.321256E-6	7.127484E-8	6.222112E-1	1.910639E-2
1.365000E+2	7.096772E-6	1.127392E-7	7.028555E-1	1.383365E-2
1.370000E+2	8.083470E-6	1.101462E-7	8.285401E-1	1.251560E-2
1.375000E+2	9.122555E-6	1.021929E-7	9.925471E-1	1.689994E-2
1.380000E+2	9.978137E-6	1.273604E-7	1.233367E+0	1.819823E-2
1.385000E+2	1.092792E-5	3.001144E-7	1.529975E+0	1.792270E-2
1.390000E+2	1.117600E-5	2.515229E-7	1.773359E+0	1.255918E-2
1.395000E+2	9.995635E-6	2.565795E-7	2.068292E+0	7.642656E-3
1.400000E+2	9.014338E-6	1.429528E-7	2.226597E+0	2.108694E-2
1.405000E+2	7.356086E-6	1.461151E-7	2.418314E+0	2.024127E-2
1.410000E+2	6.591694E-6	1.564966E-7	2.470033E+0	2.651484E-2
1.415000E+2	5.603518E-6	9.396408E-8	2.592120E+0	1.954089E-2
1.420000E+2	5.015362E-6	1.087465E-7	2.623225E+0	2.636220E-2
1.425000E+2	4.390713E-6	1.111061E-7	2.702734E+0	3.097627E-2
1.430000E+2	3.719487E-6	8.371678E-8	2.738264E+0	4.093473E-2
1.435000E+2	3.360195E-6	1.121585E-7	2.755678E+0	3.441069E-2
1.440000E+2	3.442874E-6	7.821930E-8	2.718414E+0	3.372493E-2
1.445000E+2	2.826778E-6	6.182634E-8	2.209861E+0	4.013159E-1
1.450000E+2	2.471610E-6	8.227799E-8	1.939829E+0	4.746843E-1
1.455000E+2	2.462240E-6	8.023336E-8	2.797720E+0	3.701272E-2
1.460000E+2	2.423466E-6	8.217754E-8	2.850528E+0	2.771716E-2
1.465000E+2	1.982718E-6	6.890436E-8	2.250026E+0	3.971753E-1
1.470000E+2	1.847624E-6	4.522726E-8	2.592742E+0	2.958672E-1
1.475000E+2	1.729373E-6	7.750563E-8	2.172807E+0	3.946780E-1
1.480000E+2	1.846078E-6	7.458081E-8	2.153662E+0	3.878506E-1
1.485000E+2	1.573689E-6	7.340045E-8	1.378448E+0	5.659500E-1
1.490000E+2	1.619556E-6	7.387923E-8	6.719964E-1	6.095075E-1
1.495000E+2	1.518824E-6	9.087718E-8	7.868963E-1	5.951761E-1
