Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.267613E-6	7.328275E-8	-3.112006E-2	6.908175E-2
1.205000E+2	1.336977E-6	8.785462E-8	2.217609E-1	1.111572E-1
1.210000E+2	1.439304E-6	5.826852E-8	3.899108E-1	8.326742E-2
1.215000E+2	1.459985E-6	1.168215E-7	1.753017E-1	1.007847E-1
1.220000E+2	1.598917E-6	1.151009E-7	4.130964E-1	1.190492E-1
1.225000E+2	1.818639E-6	2.208850E-7	5.600327E-1	2.192404E-1
1.230000E+2	2.419782E-6	2.208255E-7	2.474501E-1	2.956183E-1
1.235000E+2	3.629975E-6	2.881757E-7	3.797517E-2	3.466734E-1
1.240000E+2	6.980730E-6	3.647626E-7	5.578183E-1	3.490435E-1
1.245000E+2	1.568081E-5	7.494219E-7	-3.176426E-1	3.789685E-1
1.250000E+2	4.553078E-5	9.250380E-7	-1.063534E-1	4.108945E-1
1.255000E+2	2.055346E-5	6.785629E-7	1.180702E-1	3.937379E-1
1.260000E+2	8.489841E-6	3.158506E-7	-1.285898E-1	3.424028E-1
1.265000E+2	3.739435E-6	3.480394E-7	8.749244E-1	2.787350E-1
1.270000E+2	2.580714E-6	2.878728E-7	-2.221778E-1	2.571807E-1
1.275000E+2	1.372009E-6	1.771429E-7	1.477837E-1	1.335018E-1
1.280000E+2	2.263368E-6	1.686219E-7	2.739506E-1	8.486616E-2
1.285000E+2	2.224225E-6	1.279547E-7	2.875870E-1	7.619396E-2
1.290000E+2	2.476188E-6	9.653146E-8	2.847398E-1	4.945458E-2
1.295000E+2	2.339738E-6	8.120245E-8	2.670879E-1	5.629653E-2
1.300000E+2	2.671650E-6	7.242640E-8	2.415731E-1	5.105214E-2
1.305000E+2	2.635299E-6	4.239700E-8	2.624708E-1	4.899489E-2
1.310000E+2	2.760076E-6	6.143221E-8	3.245094E-1	3.797416E-2
1.315000E+2	2.913244E-6	4.373598E-8	3.143245E-1	3.711546E-2
1.320000E+2	3.037131E-6	5.078522E-8	2.955811E-1	1.972098E-2
1.325000E+2	3.275603E-6	3.185691E-8	3.357698E-1	2.215109E-2
1.330000E+2	3.500689E-6	4.952431E-8	3.211209E-1	2.498413E-2
1.335000E+2	3.866642E-6	8.107194E-8	3.738605E-1	3.227060E-2
1.340000E+2	4.177568E-6	6.064116E-8	3.794694E-1	2.931452E-2
1.345000E+2	4.613083E-6	8.594069E-8	4.142026E-1	2.689270E-2
1.350000E+2	5.104058E-6	6.541682E-8	4.537904E-1	2.268520E-2
1.355000E+2	5.667678E-6	8.289337E-8	5.574408E-1	1.381417E-2
1.360000E+2	6.319177E-6	6.892173E-8	5.832977E-1	1.349029E-2
1.365000E+2	7.552892E-6	8.252315E-8	7.039101E-1	1.463992E-2
1.370000E+2	8.694362E-6	9.081440E-8	8.208328E-1	1.293006E-2
1.375000E+2	9.765020E-6	9.814168E-8	1.032420E+0	1.528970E-2
1.380000E+2	1.133971E-5	2.024480E-7	1.247359E+0	1.302760E-2
1.385000E+2	1.209830E-5	1.599236E-7	1.513373E+0	1.486491E-2
1.390000E+2	1.169067E-5	1.747623E-7	1.774746E+0	1.368788E-2
1.395000E+2	9.996078E-6	2.262253E-7	2.027493E+0	1.463544E-2
1.400000E+2	8.643884E-6	1.545582E-7	2.211391E+0	1.800360E-2
1.405000E+2	7.734182E-6	1.465529E-7	2.418466E+0	2.143248E-2
1.410000E+2	6.312078E-6	1.823526E-7	2.521048E+0	2.211203E-2
1.415000E+2	5.709839E-6	1.216538E-7	2.545104E+0	1.819270E-2
1.420000E+2	5.057091E-6	8.134189E-8	2.648745E+0	2.626920E-2
1.425000E+2	4.548257E-6	1.129668E-7	2.666891E+0	3.682445E-2
1.430000E+2	3.932408E-6	8.592633E-8	2.744124E+0	3.454420E-2
1.435000E+2	3.677075E-6	1.058583E-7	2.515692E+0	2.912813E-1
1.440000E+2	3.154571E-6	1.036662E-7	2.506220E+0	2.913712E-1
1.445000E+2	2.783799E-6	7.975298E-8	1.629052E+0	5.227248E-1
1.450000E+2	2.727679E-6	7.361890E-8	2.800430E+0	3.859477E-2
1.455000E+2	2.462472E-6	6.646670E-8	2.793085E+0	3.506607E-2
1.460000E+2	2.420318E-6	7.252105E-8	2.821257E+0	3.516307E-2
1.465000E+2	2.079702E-6	6.382227E-8	2.891377E+0	3.827175E-2
1.470000E+2	2.072965E-6	6.136640E-8	2.809807E+0	3.244256E-2
1.475000E+2	1.911543E-6	5.256102E-8	1.385713E+0	5.749827E-1
1.480000E+2	1.683474E-6	6.404645E-8	1.643339E+0	5.186709E-1
1.485000E+2	1.860604E-6	1.005678E-7	1.302302E+0	5.603904E-1
1.490000E+2	1.659463E-6	7.863930E-8	1.360011E+0	5.729796E-1
1.495000E+2	1.640534E-6	9.344742E-8	2.191344E+0	3.821899E-1
