Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.302077E-6	6.223741E-8	-1.150024E-1	6.782638E-2
1.205000E+2	1.305362E-6	8.997365E-8	3.044959E-1	1.269920E-1
1.210000E+2	1.305695E-6	9.264462E-8	3.302758E-1	9.793868E-2
1.215000E+2	1.394730E-6	1.251455E-7	2.975714E-1	1.186077E-1
1.220000E+2	1.382808E-6	1.340413E-7	2.945386E-1	1.634781E-1
1.225000E+2	1.855865E-6	1.885986E-7	4.219372E-1	1.994057E-1
1.230000E+2	2.418683E-6	1.795962E-7	9.460373E-2	2.989979E-1
1.235000E+2	4.036508E-6	2.410373E-7	2.565560E-1	3.689908E-1
1.240000E+2	7.773976E-6	3.107685E-7	-9.756348E-2	3.768979E-1
1.245000E+2	1.881158E-5	3.595807E-7	-7.821698E-1	3.270205E-1
1.250000E+2	4.444035E-5	5.853617E-7	-5.344085E-2	3.956587E-1
1.255000E+2	1.687960E-5	2.395026E-7	6.348511E-1	4.887397E-1
1.260000E+2	6.593211E-6	3.022058E-7	8.546779E-2	3.686872E-1
1.265000E+2	3.160088E-6	2.839535E-7	7.031786E-1	3.871131E-1
1.270000E+2	2.375976E-6	2.599990E-7	-1.439193E-1	2.306786E-1
1.275000E+2	2.050664E-6	1.705177E-7	3.174939E-1	1.414830E-1
1.280000E+2	1.970246E-6	1.643556E-7	1.667638E-1	8.872901E-2
1.285000E+2	1.953312E-6	1.171157E-7	2.755718E-1	7.204172E-2
1.290000E+2	2.133862E-6	8.923460E-8	2.433549E-1	6.138297E-2
1.295000E+2	2.084069E-6	6.428770E-8	3.174863E-1	7.218329E-2
1.300000E+2	2.288137E-6	6.696156E-8	3.368598E-1	4.509688E-2
1.305000E+2	2.379569E-6	6.355096E-8	3.181003E-1	4.476029E-2
1.310000E+2	2.413093E-6	5.656106E-8	2.588109E-1	4.153503E-2
1.315000E+2	2.498106E-6	4.173919E-8	2.704228E-1	2.891614E-2
1.320000E+2	2.670166E-6	5.487006E-8	2.652050E-1	2.394875E-2
1.325000E+2	2.968037E-6	5.178404E-8	3.199626E-1	2.846387E-2
1.330000E+2	3.076135E-6	7.558637E-8	2.624190E-1	2.732464E-2
1.335000E+2	3.485164E-6	6.874207E-8	3.591996E-1	3.161691E-2
1.340000E+2	3.723450E-6	7.543042E-8	3.392804E-1	4.108507E-2
1.345000E+2	4.010289E-6	6.574773E-8	3.581582E-1	2.539480E-2
1.350000E+2	4.427719E-6	9.011927E-8	3.373480E-1	4.075281E-2
1.355000E+2	4.931851E-6	8.777652E-8	4.177050E-1	2.616287E-2
1.360000E+2	5.329750E-6	5.635471E-8	4.630465E-1	1.779672E-2
1.365000E+2	6.115615E-6	1.026844E-7	5.589090E-1	1.767760E-2
1.370000E+2	7.025982E-6	8.469260E-8	5.944245E-1	1.716829E-2
1.375000E+2	7.843962E-6	1.392400E-7	7.413846E-1	1.075491E-2
1.380000E+2	9.500317E-6	1.367893E-7	8.697820E-1	1.389503E-2
1.385000E+2	1.090056E-5	1.534939E-7	1.121160E+0	1.482761E-2
1.390000E+2	1.161993E-5	1.621541E-7	1.370714E+0	1.424016E-2
1.395000E+2	1.194619E-5	2.091319E-7	1.659013E+0	1.261973E-2
1.400000E+2	1.090847E-5	2.005854E-7	1.936186E+0	1.667871E-2
1.405000E+2	9.927973E-6	1.579519E-7	2.207824E+0	1.269734E-2
1.410000E+2	8.052242E-6	2.011711E-7	2.349760E+0	1.629599E-2
1.415000E+2	7.117019E-6	1.669447E-7	2.460328E+0	1.510092E-2
1.420000E+2	5.881881E-6	1.362167E-7	2.512307E+0	2.245472E-2
1.425000E+2	5.165310E-6	1.012597E-7	2.664641E+0	2.793946E-2
1.430000E+2	4.691900E-6	6.944472E-8	2.718879E+0	2.542504E-2
1.435000E+2	3.805232E-6	6.612838E-8	2.761360E+0	3.580441E-2
1.440000E+2	3.662890E-6	8.042500E-8	2.803697E+0	3.789926E-2
1.445000E+2	3.437899E-6	7.700634E-8	2.833108E+0	3.446697E-2
1.450000E+2	2.912714E-6	4.916517E-8	2.648016E+0	2.929455E-1
1.455000E+2	2.876095E-6	6.307832E-8	2.854039E+0	3.570614E-2
1.460000E+2	2.514998E-6	6.695608E-8	2.827370E+0	2.482315E-2
1.465000E+2	2.338539E-6	4.980534E-8	2.799994E+0	2.407311E-2
1.470000E+2	2.287072E-6	5.592449E-8	2.910574E+0	2.708408E-2
1.475000E+2	2.057939E-6	5.350750E-8	2.546959E+0	2.898496E-1
1.480000E+2	1.940418E-6	6.129935E-8	1.982261E+0	4.705343E-1
1.485000E+2	1.882545E-6	4.288098E-8	1.279752E+0	5.701593E-1
1.490000E+2	1.705861E-6	4.778281E-8	1.062533E+0	5.980880E-1
1.495000E+2	1.649295E-6	6.881124E-8	2.230639E+0	4.004049E-1
