Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.499126E-6	8.321576E-8	2.806337E-1	1.265033E-1
1.205000E+2	1.192737E-6	1.081674E-7	-1.924120E-2	1.142881E-1
1.210000E+2	1.529407E-6	1.134215E-7	1.145936E-1	1.159671E-1
1.215000E+2	1.701801E-6	1.471815E-7	3.752482E-1	9.759491E-2
1.220000E+2	1.825839E-6	1.292650E-7	3.566402E-1	1.661749E-1
1.225000E+2	1.967717E-6	2.383499E-7	2.962140E-1	3.301186E-1
1.230000E+2	2.887119E-6	2.135321E-7	4.911341E-1	3.425894E-1
1.235000E+2	4.768488E-6	2.590868E-7	-1.247384E-1	3.809007E-1
1.240000E+2	8.887328E-6	3.597415E-7	3.767936E-1	3.905029E-1
1.245000E+2	2.051968E-5	8.474741E-7	9.334259E-2	3.713554E-1
1.250000E+2	5.822511E-5	1.735157E-6	3.783681E-2	3.951393E-1
1.255000E+2	2.679529E-5	6.278248E-7	-2.903851E-1	3.936395E-1
1.260000E+2	1.092482E-5	3.203398E-7	6.430778E-1	3.494597E-1
1.265000E+2	5.610131E-6	2.727685E-7	-7.642275E-2	3.485612E-1
1.270000E+2	3.358078E-6	2.795473E-7	2.841221E-1	3.459456E-1
1.275000E+2	2.427893E-6	2.821864E-7	2.569902E-1	2.331919E-1
1.280000E+2	2.331809E-6	2.063571E-7	2.815869E-1	1.402064E-1
1.285000E+2	2.125161E-6	1.747589E-7	1.686334E-1	1.073002E-1
1.290000E+2	2.144585E-6	1.394197E-7	2.497199E-1	8.222420E-2
1.295000E+2	2.254232E-6	1.201434E-7	2.667564E-1	7.572871E-2
1.300000E+2	2.259168E-6	9.966448E-8	2.085606E-1	4.604059E-2
1.305000E+2	2.244272E-6	7.984139E-8	2.381307E-1	5.417849E-2
1.310000E+2	2.556926E-6	8.566093E-8	2.678863E-1	3.939801E-2
1.315000E+2	2.519147E-6	4.887445E-8	2.427012E-1	3.538255E-2
1.320000E+2	2.661063E-6	6.056652E-8	2.748325E-1	2.040097E-2
1.325000E+2	2.836788E-6	4.617162E-8	2.785121E-1	2.491420E-2
1.330000E+2	3.100346E-6	4.635552E-8	2.785302E-1	3.122159E-2
1.335000E+2	3.370403E-6	7.176675E-8	3.536108E-1	3.109470E-2
1.340000E+2	3.493406E-6	5.808938E-8	2.692038E-1	3.378619E-2
1.345000E+2	3.888681E-6	5.415900E-8	2.823234E-1	3.807800E-2
1.350000E+2	4.138895E-6	7.273108E-8	3.318326E-1	2.229689E-2
1.355000E+2	4.482570E-6	5.003465E-8	3.549165E-1	1.944817E-2
1.360000E+2	5.141648E-6	8.164777E-8	4.381797E-1	1.341052E-2
1.365000E+2	5.841889E-6	7.200942E-8	5.116125E-1	1.405816E-2
1.370000E+2	6.568720E-6	7.413388E-8	5.826781E-1	1.604468E-2
1.375000E+2	7.669554E-6	1.059030E-7	6.766340E-1	1.691675E-2
1.380000E+2	8.869142E-6	1.356819E-7	7.789242E-1	1.571316E-2
1.385000E+2	1.030346E-5	1.975398E-7	9.503868E-1	1.925074E-2
1.390000E+2	1.196454E-5	1.382133E-7	1.178041E+0	1.865837E-2
1.395000E+2	1.237067E-5	2.264049E-7	1.482937E+0	1.343779E-2
1.400000E+2	1.262919E-5	1.631397E-7	1.770440E+0	1.257546E-2
1.405000E+2	1.091597E-5	1.248985E-7	2.028316E+0	1.886614E-2
1.410000E+2	9.093950E-6	1.639839E-7	2.249627E+0	1.553563E-2
1.415000E+2	7.798929E-6	1.798203E-7	2.390216E+0	2.182460E-2
1.420000E+2	6.728932E-6	1.393699E-7	2.549163E+0	2.065801E-2
1.425000E+2	5.761010E-6	1.046166E-7	2.615505E+0	2.202842E-2
1.430000E+2	5.225395E-6	8.381328E-8	2.615560E+0	2.037830E-2
1.435000E+2	4.823748E-6	9.898247E-8	2.680259E+0	2.833899E-2
1.440000E+2	4.167447E-6	8.363179E-8	2.765915E+0	4.420601E-2
1.445000E+2	3.806017E-6	9.030703E-8	2.798568E+0	3.637900E-2
1.450000E+2	3.264973E-6	8.312616E-8	2.833014E+0	3.324079E-2
1.455000E+2	2.982303E-6	5.285436E-8	2.526614E+0	2.867068E-1
1.460000E+2	2.785447E-6	5.363630E-8	2.848477E+0	2.375793E-2
1.465000E+2	2.466624E-6	5.443605E-8	2.873938E+0	2.754528E-2
1.470000E+2	2.412611E-6	5.664926E-8	2.869721E+0	3.039362E-2
1.475000E+2	2.268175E-6	5.494593E-8	2.526653E+0	2.922384E-1
1.480000E+2	2.018584E-6	6.287686E-8	1.376030E+0	5.721224E-1
1.485000E+2	1.938368E-6	6.873176E-8	2.771344E+0	4.327015E-2
1.490000E+2	1.946173E-6	5.257693E-8	1.851835E+0	4.581389E-1
1.495000E+2	1.896625E-6	5.774533E-8	1.557959E+0	5.204906E-1
