Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.371776E-6	6.513679E-8	3.392076E-1	1.108503E-1
1.205000E+2	1.335082E-6	9.322195E-8	2.802116E-1	1.158602E-1
1.210000E+2	1.329168E-6	8.715999E-8	3.533978E-1	9.732291E-2
1.215000E+2	1.313307E-6	1.083629E-7	2.793569E-1	9.889736E-2
1.220000E+2	1.557019E-6	1.273905E-7	1.949989E-1	1.438060E-1
1.225000E+2	1.516709E-6	1.912744E-7	9.997344E-2	1.869573E-1
1.230000E+2	2.168642E-6	2.190594E-7	2.480518E-1	3.089655E-1
1.235000E+2	3.356634E-6	2.400788E-7	2.698105E-1	3.809269E-1
1.240000E+2	7.090538E-6	2.472368E-7	-2.425003E-1	3.660348E-1
1.245000E+2	1.944267E-5	7.211459E-7	2.330526E-1	3.788065E-1
1.250000E+2	3.931515E-5	1.308118E-6	5.350534E-1	3.961961E-1
1.255000E+2	1.379766E-5	5.675090E-7	4.265674E-1	3.689293E-1
1.260000E+2	5.413762E-6	3.604203E-7	-2.006723E-1	3.373566E-1
1.265000E+2	3.227612E-6	2.702797E-7	4.439565E-1	2.616715E-1
1.270000E+2	2.038878E-6	2.470299E-7	-7.328185E-2	1.835636E-1
1.275000E+2	1.963906E-6	1.519575E-7	3.421800E-1	1.114468E-1
1.280000E+2	1.947412E-6	1.524115E-7	1.595844E-1	9.672307E-2
1.285000E+2	1.961087E-6	9.401118E-8	2.929652E-1	5.326270E-2
1.290000E+2	2.000325E-6	9.872958E-8	1.611700E-1	6.225976E-2
1.295000E+2	2.118961E-6	6.754779E-8	2.331297E-1	6.358928E-2
1.300000E+2	2.230970E-6	7.458988E-8	2.612521E-1	6.148938E-2
1.305000E+2	2.296082E-6	5.651586E-8	2.143021E-1	4.635148E-2
1.310000E+2	2.330666E-6	4.527385E-8	1.842407E-1	3.664380E-2
1.315000E+2	2.560380E-6	3.688203E-8	2.579648E-1	2.976795E-2
1.320000E+2	2.762139E-6	2.869264E-8	3.068854E-1	2.421962E-2
1.325000E+2	2.990904E-6	3.297311E-8	2.909561E-1	2.889061E-2
1.330000E+2	3.147131E-6	5.913593E-8	3.129318E-1	3.614054E-2
1.335000E+2	3.089098E-6	6.198654E-8	3.388542E-1	3.159285E-2
1.340000E+2	3.339730E-6	6.762216E-8	2.903699E-1	3.987144E-2
1.345000E+2	3.782468E-6	7.046713E-8	3.896635E-1	3.811455E-2
1.350000E+2	4.097535E-6	6.780881E-8	4.392126E-1	2.469116E-2
1.355000E+2	4.681074E-6	6.094937E-8	4.737817E-1	2.521758E-2
1.360000E+2	5.058414E-6	1.100739E-7	5.157928E-1	1.703933E-2
1.365000E+2	6.350273E-6	9.540358E-8	5.982456E-1	1.611899E-2
1.370000E+2	7.217466E-6	1.181479E-7	6.599602E-1	1.467020E-2
1.375000E+2	8.108678E-6	1.336921E-7	7.821547E-1	1.871014E-2
1.380000E+2	8.709530E-6	1.732186E-7	9.776705E-1	1.712128E-2
1.385000E+2	1.112101E-5	1.879879E-7	1.242149E+0	1.648665E-2
1.390000E+2	1.187647E-5	1.887765E-7	1.519757E+0	1.819343E-2
1.395000E+2	1.146954E-5	1.568454E-7	1.827524E+0	1.709596E-2
1.400000E+2	1.011061E-5	2.170040E-7	2.090861E+0	1.808292E-2
1.405000E+2	8.735481E-6	1.468186E-7	2.262071E+0	2.069463E-2
1.410000E+2	7.554987E-6	1.633706E-7	2.416535E+0	2.861575E-2
1.415000E+2	6.206263E-6	1.346614E-7	2.527730E+0	1.949863E-2
1.420000E+2	5.494014E-6	1.565544E-7	2.606304E+0	2.401783E-2
1.425000E+2	4.666805E-6	9.951290E-8	2.706882E+0	1.964448E-2
1.430000E+2	4.153001E-6	9.755306E-8	2.634609E+0	2.747385E-2
1.435000E+2	3.900520E-6	8.229423E-8	2.746788E+0	3.479367E-2
1.440000E+2	3.473974E-6	8.329228E-8	2.795963E+0	3.614646E-2
1.445000E+2	3.147921E-6	9.242414E-8	2.808780E+0	4.128086E-2
1.450000E+2	2.934030E-6	7.728727E-8	2.174556E+0	3.952099E-1
1.455000E+2	2.836735E-6	7.646300E-8	2.524807E+0	2.925440E-1
1.460000E+2	2.508633E-6	7.492086E-8	2.519711E+0	2.925148E-1
1.465000E+2	2.242171E-6	6.719187E-8	2.291492E+0	4.053953E-1
1.470000E+2	2.199308E-6	7.835597E-8	2.531545E+0	2.906719E-1
1.475000E+2	1.952180E-6	6.422279E-8	1.638581E+0	5.233407E-1
1.480000E+2	1.925584E-6	7.603435E-8	1.866571E+0	4.637147E-1
1.485000E+2	1.750921E-6	7.579610E-8	1.628249E+0	5.250309E-1
1.490000E+2	1.798144E-6	5.132093E-8	1.562009E+0	5.120600E-1
1.495000E+2	1.637791E-6	1.009372E-7	1.699448E+0	4.417159E-1
