Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.359635E-6	5.618849E-8	2.693383E-1	1.017560E-1
1.205000E+2	1.092518E-6	8.427016E-8	8.452213E-2	1.258599E-1
1.210000E+2	1.354479E-6	9.172304E-8	2.807529E-1	1.232888E-1
1.215000E+2	1.495374E-6	1.163467E-7	1.369657E-1	8.798587E-2
1.220000E+2	1.140853E-6	8.841078E-8	-1.948890E-1	1.643253E-1
1.225000E+2	2.507827E-6	1.272402E-7	-1.110235E-1	1.044888E-1
1.230000E+2	3.197758E-6	1.729296E-7	3.666433E-1	2.120938E-1
1.235000E+2	4.079898E-6	2.473792E-7	-1.763525E-1	4.077798E-1
1.240000E+2	8.363011E-6	2.875695E-7	3.726924E-2	3.926742E-1
1.245000E+2	2.201752E-5	6.355627E-7	1.445923E-2	3.891358E-1
1.250000E+2	4.735063E-5	1.432650E-6	-2.579773E-1	4.137667E-1
1.255000E+2	1.645969E-5	6.680106E-7	2.784235E-1	3.968595E-1
1.260000E+2	7.437590E-6	3.467890E-7	1.022618E-2	3.672702E-1
1.265000E+2	4.030579E-6	2.847747E-7	2.124419E-1	3.075426E-1
1.270000E+2	2.860423E-6	2.893509E-7	2.821614E-1	2.948748E-1
1.275000E+2	2.260429E-6	1.964164E-7	4.537711E-1	1.488220E-1
1.280000E+2	2.039802E-6	2.007902E-7	1.591448E-1	1.065503E-1
1.285000E+2	2.114713E-6	1.140421E-7	3.659989E-1	8.978171E-2
1.290000E+2	1.961834E-6	1.122680E-7	5.821717E-2	7.564157E-2
1.295000E+2	1.989401E-6	9.066655E-8	2.265310E-1	6.243002E-2
1.300000E+2	2.216207E-6	7.559784E-8	2.085406E-1	4.945749E-2
1.305000E+2	2.334949E-6	7.093645E-8	2.822599E-1	3.775278E-2
1.310000E+2	2.473891E-6	7.627660E-8	2.765968E-1	4.394331E-2
1.315000E+2	2.577248E-6	5.008477E-8	2.752959E-1	2.947474E-2
1.320000E+2	2.639544E-6	4.977697E-8	2.488557E-1	2.447189E-2
1.325000E+2	3.024107E-6	4.803693E-8	2.908310E-1	2.625147E-2
1.330000E+2	3.134613E-6	5.289093E-8	3.162518E-1	2.975673E-2
1.335000E+2	3.207111E-6	7.735849E-8	2.989142E-1	3.586932E-2
1.340000E+2	3.709638E-6	5.850713E-8	3.130459E-1	3.259311E-2
1.345000E+2	4.087425E-6	6.233131E-8	3.848109E-1	2.781961E-2
1.350000E+2	4.510375E-6	7.766711E-8	4.458846E-1	2.645312E-2
1.355000E+2	4.711455E-6	6.844336E-8	4.315410E-1	2.353591E-2
1.360000E+2	5.329201E-6	9.701579E-8	4.455170E-1	2.261422E-2
1.365000E+2	5.863153E-6	8.427876E-8	4.917435E-1	1.714239E-2
1.370000E+2	6.797060E-6	1.012679E-7	5.908747E-1	1.497013E-2
1.375000E+2	8.012254E-6	1.206811E-7	6.974860E-1	1.211516E-2
1.380000E+2	9.253718E-6	1.229237E-7	8.629161E-1	1.423625E-2
1.385000E+2	1.074352E-5	1.826108E-7	1.029588E+0	1.135257E-2
1.390000E+2	1.179451E-5	2.189330E-7	1.270923E+0	1.450047E-2
1.395000E+2	1.250781E-5	1.785529E-7	1.597947E+0	1.525205E-2
1.400000E+2	1.179469E-5	1.452977E-7	1.879377E+0	1.396017E-2
1.405000E+2	1.000804E-5	1.539224E-7	2.116305E+0	1.490168E-2
1.410000E+2	8.637207E-6	1.289921E-7	2.323703E+0	1.462667E-2
1.415000E+2	7.568716E-6	1.245072E-7	2.485333E+0	1.660755E-2
1.420000E+2	6.455922E-6	1.244628E-7	2.545323E+0	2.236628E-2
1.425000E+2	5.432021E-6	1.089206E-7	2.629947E+0	2.236211E-2
1.430000E+2	4.900964E-6	7.505880E-8	2.645181E+0	2.238698E-2
1.435000E+2	4.225339E-6	8.989812E-8	2.698062E+0	2.566240E-2
1.440000E+2	3.757722E-6	1.038997E-7	2.741236E+0	3.379952E-2
1.445000E+2	3.392252E-6	7.673153E-8	2.753431E+0	2.905810E-2
1.450000E+2	3.210279E-6	7.030489E-8	2.519706E+0	2.906541E-1
1.455000E+2	2.821607E-6	8.051662E-8	2.842308E+0	2.542206E-2
1.460000E+2	2.572581E-6	4.883656E-8	2.597173E+0	2.939763E-1
1.465000E+2	2.405981E-6	6.427671E-8	2.857812E+0	2.643701E-2
1.470000E+2	2.309354E-6	5.111791E-8	2.832506E+0	3.641575E-2
1.475000E+2	2.081806E-6	5.254047E-8	2.494531E+0	2.915322E-1
1.480000E+2	1.930409E-6	6.389331E-8	2.305022E+0	3.962172E-1
1.485000E+2	1.944986E-6	7.442478E-8	2.460472E+0	2.880616E-1
1.490000E+2	1.907732E-6	7.178456E-8	1.859863E+0	4.544197E-1
1.495000E+2	1.809989E-6	7.764227E-8	1.852195E+0	4.611473E-1
