Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.256613E-6	6.276888E-8	1.378671E-1	1.015684E-1
1.205000E+2	1.351688E-6	7.518775E-8	2.065773E-1	1.072969E-1
1.210000E+2	1.325443E-6	8.956891E-8	2.321967E-1	9.429179E-2
1.215000E+2	1.354591E-6	9.292667E-8	3.473235E-1	9.313990E-2
1.220000E+2	1.483200E-6	1.289364E-7	1.830581E-1	1.390844E-1
1.225000E+2	1.639865E-6	1.713138E-7	3.150586E-1	1.901827E-1
1.230000E+2	2.382769E-6	1.976312E-7	3.930276E-1	2.308362E-1
1.235000E+2	3.341224E-6	2.322821E-7	1.856776E-1	3.451262E-1
1.240000E+2	6.943737E-6	3.342445E-7	1.291361E-1	3.898047E-1
1.245000E+2	1.748011E-5	3.668858E-7	2.075096E-1	3.983471E-1
1.250000E+2	3.787851E-5	1.175352E-6	-4.840012E-1	3.821415E-1
1.255000E+2	1.466333E-5	4.010850E-7	4.675142E-1	3.865920E-1
1.260000E+2	5.978300E-6	2.949203E-7	1.532539E-1	4.365989E-1
1.265000E+2	4.191398E-6	2.545026E-7	3.672793E-1	2.052948E-1
1.270000E+2	2.115304E-6	2.554396E-7	1.694384E-1	2.515422E-1
1.275000E+2	2.078662E-6	1.634455E-7	3.093682E-1	1.193264E-1
1.280000E+2	2.025254E-6	1.446067E-7	2.563686E-1	8.329818E-2
1.285000E+2	2.031130E-6	8.272981E-8	2.485272E-1	7.373506E-2
1.290000E+2	2.060518E-6	9.344561E-8	2.011255E-1	6.392289E-2
1.295000E+2	2.152428E-6	5.553248E-8	1.832421E-1	6.014823E-2
1.300000E+2	2.266008E-6	6.683321E-8	2.615707E-1	5.079551E-2
1.305000E+2	2.389264E-6	5.155887E-8	2.972436E-1	3.998350E-2
1.310000E+2	2.518263E-6	5.219000E-8	2.686469E-1	4.143563E-2
1.315000E+2	2.709799E-6	2.805207E-8	3.447072E-1	2.567892E-2
1.320000E+2	2.811669E-6	3.501292E-8	2.965987E-1	1.628724E-2
1.325000E+2	2.913887E-6	3.123454E-8	2.735487E-1	2.064648E-2
1.330000E+2	3.194848E-6	4.483135E-8	2.968090E-1	2.832308E-2
1.335000E+2	3.452587E-6	5.772337E-8	3.367850E-1	2.874671E-2
1.340000E+2	3.740603E-6	5.031947E-8	3.619668E-1	3.229030E-2
1.345000E+2	4.118778E-6	5.581005E-8	3.644528E-1	3.283478E-2
1.350000E+2	4.419164E-6	6.244433E-8	3.726830E-1	2.299070E-2
1.355000E+2	4.927413E-6	7.012609E-8	4.044299E-1	2.656036E-2
1.360000E+2	5.668142E-6	8.319257E-8	5.065815E-1	1.897180E-2
1.365000E+2	6.334934E-6	6.684529E-8	5.711747E-1	1.553328E-2
1.370000E+2	7.258507E-6	7.100207E-8	6.592946E-1	1.335514E-2
1.375000E+2	8.318318E-6	1.119069E-7	7.798570E-1	1.354618E-2
1.380000E+2	9.686681E-6	1.430619E-7	9.406646E-1	1.847856E-2
1.385000E+2	1.109075E-5	1.526483E-7	1.177019E+0	1.823692E-2
1.390000E+2	1.126167E-5	2.175935E-7	1.468266E+0	1.398011E-2
1.395000E+2	1.091344E-5	1.958722E-7	1.780752E+0	1.358247E-2
1.400000E+2	9.495023E-6	2.203581E-7	2.010450E+0	2.519241E-2
1.405000E+2	8.188603E-6	1.950512E-7	2.197493E+0	2.476769E-2
1.410000E+2	6.546760E-6	1.452893E-7	2.341595E+0	2.572113E-2
1.415000E+2	6.080563E-6	1.631156E-7	2.484083E+0	2.046548E-2
1.420000E+2	4.801483E-6	1.158952E-7	2.608408E+0	2.625031E-2
1.425000E+2	4.300090E-6	1.011754E-7	2.618326E+0	1.993896E-2
1.430000E+2	3.808324E-6	1.072780E-7	2.647797E+0	3.210013E-2
1.435000E+2	3.480348E-6	8.984049E-8	2.707576E+0	3.226966E-2
1.440000E+2	2.918990E-6	1.044920E-7	2.759725E+0	4.446623E-2
1.445000E+2	2.651593E-6	9.606086E-8	2.806583E+0	3.733882E-2
1.450000E+2	2.927779E-6	9.456767E-8	2.756370E+0	4.346785E-2
1.455000E+2	2.658584E-6	7.281989E-8	2.550073E+0	2.913479E-1
1.460000E+2	2.481954E-6	6.414062E-8	2.561437E+0	2.937263E-1
1.465000E+2	2.305618E-6	7.782215E-8	2.247728E+0	4.004159E-1
1.470000E+2	2.129627E-6	7.617860E-8	2.841281E+0	3.039045E-2
1.475000E+2	1.874334E-6	5.787816E-8	2.241292E+0	3.994941E-1
1.480000E+2	1.880224E-6	8.919959E-8	2.525505E+0	2.845304E-1
1.485000E+2	1.825267E-6	6.769432E-8	1.824859E+0	4.592993E-1
1.490000E+2	1.613693E-6	8.081465E-8	1.369170E+0	5.512818E-1
1.495000E+2	1.522135E-6	9.965051E-8	1.476333E+0	4.978305E-1
