Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.227196E-6	6.804966E-8	3.628043E-1	8.932259E-2
1.205000E+2	1.306250E-6	5.940795E-8	2.568775E-1	8.299027E-2
1.210000E+2	1.347920E-6	9.762489E-8	2.203978E-1	1.120098E-1
1.215000E+2	1.430696E-6	1.011767E-7	2.914911E-1	1.225638E-1
1.220000E+2	1.441955E-6	1.639573E-7	2.397954E-1	1.108823E-1
1.225000E+2	1.891150E-6	1.717270E-7	4.438361E-1	1.991205E-1
1.230000E+2	2.504428E-6	2.194557E-7	1.466612E-1	2.960366E-1
1.235000E+2	4.182889E-6	2.585845E-7	1.338898E-2	3.308678E-1
1.240000E+2	8.330519E-6	4.364890E-7	-3.448690E-1	3.817876E-1
1.245000E+2	2.088428E-5	8.172483E-7	1.510467E-1	4.060102E-1
1.250000E+2	4.450260E-5	1.138105E-6	-2.982105E-1	3.849028E-1
1.255000E+2	1.574785E-5	5.175995E-7	3.671550E-1	3.915732E-1
1.260000E+2	6.731672E-6	4.022025E-7	1.636046E-1	3.703166E-1
1.265000E+2	3.893895E-6	2.211567E-7	8.742448E-1	2.705173E-1
1.270000E+2	1.854554E-6	2.933964E-7	-5.266811E-1	3.530262E-1
1.275000E+2	2.589635E-6	1.409855E-7	4.604669E-1	1.023433E-1
1.280000E+2	2.199529E-6	1.506356E-7	1.218826E-1	9.327718E-2
1.285000E+2	2.272824E-6	1.253040E-7	4.670813E-1	5.300633E-2
1.290000E+2	2.038361E-6	9.386371E-8	1.997544E-1	5.987495E-2
1.295000E+2	2.265295E-6	7.879941E-8	2.448385E-1	7.178230E-2
1.300000E+2	2.280891E-6	7.819415E-8	2.613437E-1	5.680007E-2
1.305000E+2	2.386929E-6	5.692892E-8	2.701829E-1	4.990934E-2
1.310000E+2	2.504337E-6	4.557778E-8	1.794966E-1	3.191260E-2
1.315000E+2	2.609025E-6	5.378716E-8	2.535881E-1	2.872279E-2
1.320000E+2	2.708701E-6	3.513625E-8	2.819963E-1	2.024317E-2
1.325000E+2	2.911701E-6	5.385062E-8	2.380042E-1	2.690974E-2
1.330000E+2	3.147384E-6	5.893925E-8	2.891567E-1	3.412997E-2
1.335000E+2	3.455647E-6	5.900271E-8	3.805991E-1	3.181955E-2
1.340000E+2	3.521172E-6	6.014547E-8	3.136758E-1	3.747801E-2
1.345000E+2	3.903762E-6	7.649088E-8	3.723048E-1	3.937068E-2
1.350000E+2	4.299530E-6	7.698746E-8	3.764339E-1	3.555959E-2
1.355000E+2	4.561256E-6	6.890091E-8	3.362751E-1	2.127026E-2
1.360000E+2	5.356193E-6	5.480371E-8	4.723460E-1	1.676138E-2
1.365000E+2	6.088546E-6	6.422058E-8	5.356969E-1	1.600336E-2
1.370000E+2	6.718999E-6	8.379394E-8	5.926265E-1	1.591824E-2
1.375000E+2	7.971929E-6	1.409073E-7	6.971121E-1	1.965660E-2
1.380000E+2	9.723246E-6	1.268846E-7	8.804147E-1	1.013414E-2
1.385000E+2	1.092961E-5	1.892888E-7	1.091621E+0	1.718390E-2
1.390000E+2	1.157769E-5	1.865950E-7	1.337649E+0	1.447595E-2
1.395000E+2	1.223277E-5	2.066331E-7	1.654237E+0	1.798210E-2
1.400000E+2	1.127347E-5	1.876044E-7	1.936383E+0	1.408901E-2
1.405000E+2	1.016637E-5	2.173988E-7	2.171031E+0	1.761314E-2
1.410000E+2	8.401373E-6	1.293372E-7	2.311468E+0	1.737960E-2
1.415000E+2	7.089562E-6	1.446528E-7	2.458355E+0	2.414968E-2
1.420000E+2	6.006570E-6	1.032561E-7	2.566677E+0	1.944872E-2
1.425000E+2	5.287282E-6	1.047975E-7	2.639883E+0	2.858236E-2
1.430000E+2	4.461542E-6	7.754473E-8	2.699569E+0	2.084070E-2
1.435000E+2	3.952856E-6	7.090758E-8	2.758619E+0	3.328258E-2
1.440000E+2	3.634982E-6	5.842874E-8	2.776294E+0	2.678970E-2
1.445000E+2	3.509191E-6	6.192766E-8	2.775503E+0	3.640074E-2
1.450000E+2	3.112720E-6	8.324611E-8	2.826113E+0	3.513726E-2
1.455000E+2	2.826875E-6	5.635833E-8	2.849688E+0	3.363610E-2
1.460000E+2	2.720004E-6	6.049932E-8	2.567579E+0	2.922122E-1
1.465000E+2	2.407761E-6	4.707097E-8	2.557873E+0	2.939149E-1
1.470000E+2	2.206270E-6	5.267697E-8	2.815665E+0	3.524717E-2
1.475000E+2	2.038030E-6	6.171919E-8	2.231308E+0	4.015144E-1
1.480000E+2	1.900833E-6	5.829262E-8	1.674012E+0	5.220642E-1
1.485000E+2	1.907091E-6	5.220258E-8	1.642241E+0	5.291789E-1
1.490000E+2	1.828775E-6	4.135529E-8	1.722147E+0	5.272369E-1
1.495000E+2	1.725051E-6	7.007056E-8	4.484717E-1	6.239430E-1
