Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.376213E-6	6.568424E-8	1.603530E-1	1.253464E-1
1.205000E+2	1.696704E-6	8.335077E-8	4.252066E-1	7.571769E-2
1.210000E+2	1.526210E-6	1.326997E-7	3.085440E-1	1.006330E-1
1.215000E+2	1.323208E-6	1.621719E-7	1.242882E-1	1.404284E-1
1.220000E+2	1.698980E-6	1.551557E-7	2.347785E-1	1.896952E-1
1.225000E+2	2.146506E-6	1.899524E-7	-1.064268E-2	2.450710E-1
1.230000E+2	3.078475E-6	2.225132E-7	5.213046E-1	3.728489E-1
1.235000E+2	5.156259E-6	2.479026E-7	2.606368E-1	3.734176E-1
1.240000E+2	1.068609E-5	3.657665E-7	-3.768800E-1	3.516906E-1
1.245000E+2	2.742344E-5	8.326354E-7	1.923286E-1	4.036919E-1
1.250000E+2	5.853855E-5	1.853396E-6	3.106708E-2	3.838669E-1
1.255000E+2	2.181863E-5	6.058112E-7	6.189308E-1	3.642671E-1
1.260000E+2	8.903924E-6	3.768379E-7	-4.687708E-1	3.570111E-1
1.265000E+2	4.759606E-6	2.869804E-7	3.347552E-1	3.152147E-1
1.270000E+2	2.740686E-6	3.093354E-7	1.349337E-1	2.922430E-1
1.275000E+2	2.369947E-6	2.115686E-7	4.627628E-1	1.653669E-1
1.280000E+2	2.023092E-6	2.140501E-7	1.964562E-1	1.192714E-1
1.285000E+2	2.165639E-6	1.336758E-7	2.672487E-1	9.223527E-2
1.290000E+2	1.969347E-6	1.316572E-7	7.405699E-2	7.758094E-2
1.295000E+2	2.238417E-6	8.824370E-8	2.817406E-1	8.069201E-2
1.300000E+2	2.254800E-6	9.591744E-8	1.670446E-1	6.751917E-2
1.305000E+2	2.320977E-6	7.156771E-8	2.024482E-1	5.440338E-2
1.310000E+2	2.421376E-6	6.593091E-8	2.328827E-1	3.046538E-2
1.315000E+2	2.543445E-6	6.010993E-8	2.208492E-1	3.879203E-2
1.320000E+2	2.779318E-6	7.093742E-8	3.062047E-1	2.953332E-2
1.325000E+2	2.927158E-6	5.326749E-8	3.176636E-1	3.142498E-2
1.330000E+2	3.066324E-6	7.242488E-8	2.431409E-1	3.577028E-2
1.335000E+2	3.358952E-6	4.707405E-8	3.463276E-1	3.791491E-2
1.340000E+2	3.585893E-6	6.800540E-8	3.481794E-1	3.927925E-2
1.345000E+2	3.976065E-6	5.535601E-8	3.960533E-1	3.063769E-2
1.350000E+2	4.156245E-6	7.322860E-8	3.694744E-1	2.905995E-2
1.355000E+2	4.717027E-6	6.700052E-8	4.500391E-1	2.731327E-2
1.360000E+2	5.123261E-6	7.325399E-8	4.554291E-1	2.041858E-2
1.365000E+2	5.889752E-6	5.924330E-8	4.913404E-1	2.115109E-2
1.370000E+2	6.563750E-6	7.646226E-8	5.603149E-1	1.202301E-2
1.375000E+2	7.700564E-6	8.691024E-8	6.759864E-1	1.180726E-2
1.380000E+2	9.081574E-6	1.642807E-7	8.227321E-1	1.585078E-2
1.385000E+2	1.043709E-5	1.572334E-7	9.897528E-1	1.474871E-2
1.390000E+2	1.207917E-5	1.691828E-7	1.251951E+0	1.603305E-2
1.395000E+2	1.268813E-5	1.784569E-7	1.568335E+0	1.261243E-2
1.400000E+2	1.178151E-5	2.238519E-7	1.865271E+0	1.470383E-2
1.405000E+2	1.046575E-5	2.185346E-7	2.068249E+0	1.642148E-2
1.410000E+2	8.926080E-6	1.647296E-7	2.286485E+0	1.791148E-2
1.415000E+2	7.757905E-6	1.244550E-7	2.424493E+0	2.128195E-2
1.420000E+2	6.298382E-6	8.303267E-8	2.558026E+0	1.554948E-2
1.425000E+2	5.518810E-6	6.716898E-8	2.582681E+0	1.755553E-2
1.430000E+2	4.950396E-6	1.212862E-7	2.690264E+0	2.793475E-2
1.435000E+2	4.465492E-6	8.231172E-8	2.692923E+0	2.749907E-2
1.440000E+2	3.991756E-6	6.270258E-8	2.537933E+0	2.919358E-1
1.445000E+2	3.542029E-6	8.001028E-8	2.781605E+0	3.537853E-2
1.450000E+2	3.005163E-6	1.074995E-7	2.214975E+0	3.986563E-1
1.455000E+2	2.930689E-6	5.774303E-8	2.864516E+0	3.092341E-2
1.460000E+2	2.718922E-6	5.877466E-8	2.806697E+0	2.750270E-2
1.465000E+2	2.522441E-6	5.535919E-8	2.568244E+0	2.926684E-1
1.470000E+2	2.235779E-6	4.706072E-8	2.863849E+0	3.046123E-2
1.475000E+2	2.120173E-6	7.301240E-8	2.259358E+0	3.931613E-1
1.480000E+2	2.078181E-6	6.261545E-8	1.677484E+0	5.338003E-1
1.485000E+2	1.944703E-6	6.837655E-8	2.581039E+0	2.872705E-1
1.490000E+2	1.799717E-6	3.833622E-8	1.317582E+0	5.543648E-1
1.495000E+2	1.783667E-6	7.859184E-8	2.149068E+0	3.938189E-1
