Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.273581E-6	5.243600E-8	2.696379E-1	8.826326E-2
1.205000E+2	1.196518E-6	7.837272E-8	2.836196E-1	1.081072E-1
1.210000E+2	1.584301E-6	4.256706E-8	3.753219E-1	4.901534E-2
1.215000E+2	1.339873E-6	1.177633E-7	1.243988E-1	7.170551E-2
1.220000E+2	1.534731E-6	1.048157E-7	5.692180E-1	1.147654E-1
1.225000E+2	1.514599E-6	2.073481E-7	-2.259859E-1	1.749967E-1
1.230000E+2	2.408065E-6	2.165896E-7	-6.074555E-1	1.546103E-1
1.235000E+2	3.254230E-6	2.346658E-7	-1.015608E-1	3.641487E-1
1.240000E+2	6.207663E-6	2.775153E-7	6.281500E-1	4.628328E-1
1.245000E+2	1.652161E-5	2.850354E-7	3.056641E-1	3.106270E-1
1.250000E+2	3.891829E-5	7.252781E-7	-3.035836E-1	3.642474E-1
1.255000E+2	1.580860E-5	3.934485E-7	-1.633140E-1	3.433545E-1
1.260000E+2	6.552822E-6	3.069021E-7	-1.997703E-1	3.135669E-1
1.265000E+2	2.036517E-6	1.092532E-7	1.068581E+0	4.349462E-1
1.270000E+2	2.794820E-6	2.762793E-7	2.076358E-3	1.835437E-1
1.275000E+2	2.296178E-6	1.273415E-7	6.751487E-1	1.086783E-1
1.280000E+2	1.872902E-6	1.591756E-7	-9.567309E-2	6.382889E-2
1.285000E+2	1.931533E-6	9.638632E-8	2.755764E-1	5.736335E-2
1.290000E+2	1.994632E-6	7.990463E-8	1.014133E-1	4.547830E-2
1.295000E+2	2.292073E-6	5.369047E-8	2.678718E-1	7.059095E-2
1.300000E+2	2.148694E-6	7.171658E-8	1.678159E-1	4.740889E-2
1.305000E+2	2.371289E-6	5.612047E-8	3.601886E-1	4.352890E-2
1.310000E+2	2.552019E-6	3.909727E-8	2.015506E-1	3.917153E-2
1.315000E+2	2.608802E-6	3.457114E-8	2.474062E-1	2.994378E-2
1.320000E+2	2.755581E-6	2.960121E-8	2.704463E-1	2.350508E-2
1.325000E+2	2.877020E-6	3.162531E-8	2.538809E-1	2.436811E-2
1.330000E+2	3.156984E-6	3.207737E-8	3.285075E-1	1.893116E-2
1.335000E+2	3.363560E-6	4.143746E-8	2.816917E-1	3.405222E-2
1.340000E+2	3.705671E-6	6.941860E-8	3.615841E-1	3.798985E-2
1.345000E+2	3.767613E-6	7.761050E-8	3.247824E-1	3.212238E-2
1.350000E+2	3.964941E-6	8.328869E-8	3.222713E-1	2.761395E-2
1.355000E+2	4.444310E-6	6.189143E-8	3.734601E-1	2.066159E-2
1.360000E+2	5.006146E-6	8.081697E-8	4.837201E-1	1.816856E-2
1.365000E+2	5.289541E-6	9.069480E-8	5.626174E-1	1.595146E-2
1.370000E+2	6.133719E-6	1.136307E-7	6.404277E-1	1.840473E-2
1.375000E+2	7.082363E-6	1.200528E-7	7.497787E-1	1.313800E-2
1.380000E+2	8.175405E-6	1.259467E-7	9.098156E-1	2.193705E-2
1.385000E+2	9.840007E-6	2.222196E-7	1.118173E+0	1.356049E-2
1.390000E+2	1.042159E-5	2.373312E-7	1.385141E+0	2.297404E-2
1.395000E+2	1.003667E-5	1.835195E-7	1.730018E+0	1.875079E-2
1.400000E+2	9.239005E-6	2.259468E-7	1.996820E+0	1.825385E-2
1.405000E+2	8.108123E-6	2.106952E-7	2.195497E+0	2.370549E-2
1.410000E+2	6.795950E-6	2.010524E-7	2.356877E+0	2.537567E-2
1.415000E+2	5.714198E-6	1.310894E-7	2.502887E+0	3.276427E-2
1.420000E+2	4.734175E-6	1.042448E-7	2.581277E+0	3.599816E-2
1.425000E+2	4.514786E-6	1.158579E-7	2.586741E+0	2.038579E-2
1.430000E+2	3.990038E-6	1.111250E-7	2.688619E+0	3.652721E-2
1.435000E+2	3.487529E-6	7.475434E-8	2.688744E+0	3.226898E-2
1.440000E+2	3.203278E-6	8.846152E-8	2.710939E+0	3.731252E-2
1.445000E+2	2.934323E-6	7.487492E-8	2.158421E+0	3.904832E-1
1.450000E+2	2.650335E-6	6.641750E-8	2.787563E+0	4.473943E-2
1.455000E+2	2.341104E-6	7.136419E-8	2.248842E+0	4.012050E-1
1.460000E+2	2.154740E-6	6.818002E-8	2.761953E+0	2.924338E-2
1.465000E+2	2.220256E-6	4.761277E-8	2.578348E+0	2.946890E-1
1.470000E+2	2.112758E-6	4.949855E-8	2.817941E+0	3.564547E-2
1.475000E+2	2.069056E-6	4.950015E-8	2.503276E+0	2.911444E-1
1.480000E+2	2.066932E-6	5.625486E-8	2.534381E+0	2.906248E-1
1.485000E+2	1.770806E-6	7.944986E-8	1.636369E+0	5.302676E-1
1.490000E+2	1.829731E-6	6.971662E-8	9.796236E-1	5.830919E-1
1.495000E+2	1.713147E-6	7.878066E-8	2.151573E+0	3.940884E-1
