Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.336414E-6	6.628470E-8	1.848110E-1	1.116719E-1
1.205000E+2	1.372041E-6	9.506655E-8	3.126297E-1	1.214564E-1
1.210000E+2	1.461925E-6	8.548365E-8	3.975881E-1	8.430776E-2
1.215000E+2	1.426758E-6	9.965252E-8	9.816350E-2	7.144178E-2
1.220000E+2	1.702454E-6	9.424744E-8	3.660630E-1	8.326779E-2
1.225000E+2	1.971905E-6	1.318318E-7	1.656788E-1	1.393442E-1
1.230000E+2	2.028830E-6	1.788118E-7	6.385816E-2	2.322208E-1
1.235000E+2	3.031789E-6	2.363529E-7	1.053226E-1	3.333583E-1
1.240000E+2	5.850016E-6	2.967904E-7	1.629474E-1	4.494411E-1
1.245000E+2	1.697859E-5	4.061562E-7	4.306083E-2	3.881464E-1
1.250000E+2	3.476742E-5	1.759535E-6	-5.288745E-1	3.980313E-1
1.255000E+2	1.299727E-5	6.159069E-7	5.718047E-1	3.403730E-1
1.260000E+2	5.103113E-6	3.992488E-7	-2.416192E-1	3.621592E-1
1.265000E+2	3.129182E-6	2.205217E-7	4.495995E-1	2.459650E-1
1.270000E+2	2.023144E-6	2.627272E-7	-6.858771E-2	1.781767E-1
1.275000E+2	2.111688E-6	1.423945E-7	3.216327E-1	1.011434E-1
1.280000E+2	1.978676E-6	1.357327E-7	2.071557E-1	8.996887E-2
1.285000E+2	2.001345E-6	9.343940E-8	1.854114E-1	3.902812E-2
1.290000E+2	2.164480E-6	8.386018E-8	1.800314E-1	7.876205E-2
1.295000E+2	2.172490E-6	5.398528E-8	2.582066E-1	6.523249E-2
1.300000E+2	2.320051E-6	4.980737E-8	2.530601E-1	4.946292E-2
1.305000E+2	2.285687E-6	5.081016E-8	2.247294E-1	4.427495E-2
1.310000E+2	2.523660E-6	8.344628E-8	3.336977E-1	3.462655E-2
1.315000E+2	2.657662E-6	3.902414E-8	3.116939E-1	3.571296E-2
1.320000E+2	2.741390E-6	3.978503E-8	2.787892E-1	2.092303E-2
1.325000E+2	3.023564E-6	5.703519E-8	2.988684E-1	2.911890E-2
1.330000E+2	3.234399E-6	5.088466E-8	3.329301E-1	3.014572E-2
1.335000E+2	3.438106E-6	6.468273E-8	3.653602E-1	2.921180E-2
1.340000E+2	3.730974E-6	8.111132E-8	3.562284E-1	3.465910E-2
1.345000E+2	3.976056E-6	5.909958E-8	3.504285E-1	3.347323E-2
1.350000E+2	4.422065E-6	7.688052E-8	3.679273E-1	3.169934E-2
1.355000E+2	4.938559E-6	8.800272E-8	4.060077E-1	2.457868E-2
1.360000E+2	5.490242E-6	8.728433E-8	4.675230E-1	2.015158E-2
1.365000E+2	6.065938E-6	8.132254E-8	5.367534E-1	1.640671E-2
1.370000E+2	7.118347E-6	8.467126E-8	6.361433E-1	1.416905E-2
1.375000E+2	8.243297E-6	1.357940E-7	7.554683E-1	1.847411E-2
1.380000E+2	9.462139E-6	1.563544E-7	9.059795E-1	1.416359E-2
1.385000E+2	1.097455E-5	2.329413E-7	1.136539E+0	1.209148E-2
1.390000E+2	1.225511E-5	2.390420E-7	1.393952E+0	1.329941E-2
1.395000E+2	1.193299E-5	2.355208E-7	1.703921E+0	1.499381E-2
1.400000E+2	1.146584E-5	1.377316E-7	2.007444E+0	1.722354E-2
1.405000E+2	9.713722E-6	1.370875E-7	2.210908E+0	1.571029E-2
1.410000E+2	8.027031E-6	9.193208E-8	2.361538E+0	1.932151E-2
1.415000E+2	6.836016E-6	1.242249E-7	2.489642E+0	2.307918E-2
1.420000E+2	6.088406E-6	1.199875E-7	2.583619E+0	1.859889E-2
1.425000E+2	5.318630E-6	8.190600E-8	2.679604E+0	1.814053E-2
1.430000E+2	4.620412E-6	7.442910E-8	2.686638E+0	2.827064E-2
1.435000E+2	3.905934E-6	8.534544E-8	2.774082E+0	3.106406E-2
1.440000E+2	3.595042E-6	8.255144E-8	2.750690E+0	3.317319E-2
1.445000E+2	3.320818E-6	6.834461E-8	2.534495E+0	2.934577E-1
1.450000E+2	3.000150E-6	5.200891E-8	2.760114E+0	2.685180E-2
1.455000E+2	2.710783E-6	3.581551E-8	2.866335E+0	2.892810E-2
1.460000E+2	2.562154E-6	6.950467E-8	2.809056E+0	3.695590E-2
1.465000E+2	2.404926E-6	4.627599E-8	2.859499E+0	3.109661E-2
1.470000E+2	2.258657E-6	6.003861E-8	2.850483E+0	3.017897E-2
1.475000E+2	2.035557E-6	5.534253E-8	2.979827E+0	3.184269E-2
1.480000E+2	1.977141E-6	4.375484E-8	1.670787E+0	5.285429E-1
1.485000E+2	1.867022E-6	4.986337E-8	1.665042E+0	5.325102E-1
1.490000E+2	1.803891E-6	5.561078E-8	1.299648E+0	5.589794E-1
1.495000E+2	1.498450E-6	6.083647E-8	2.159327E+0	3.959091E-1
