Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.277996E-6	4.449777E-8	1.101220E-1	9.993426E-2
1.205000E+2	1.350038E-6	6.991875E-8	2.022989E-1	7.691297E-2
1.210000E+2	1.432305E-6	9.013917E-8	2.811065E-1	8.791682E-2
1.215000E+2	1.443784E-6	1.058566E-7	3.289663E-1	9.700399E-2
1.220000E+2	1.663545E-6	1.206737E-7	2.500215E-1	1.126344E-1
1.225000E+2	1.631058E-6	1.807312E-7	7.091882E-2	1.748081E-1
1.230000E+2	2.344275E-6	2.146507E-7	5.097869E-1	2.174772E-1
1.235000E+2	3.577833E-6	3.079861E-7	1.729235E-1	3.197125E-1
1.240000E+2	6.715409E-6	2.817158E-7	4.599254E-1	3.528523E-1
1.245000E+2	1.577595E-5	5.157047E-7	3.217126E-1	4.026189E-1
1.250000E+2	4.156968E-5	1.358181E-6	2.513996E-1	3.950370E-1
1.255000E+2	1.939119E-5	6.718195E-7	2.205885E-1	4.085199E-1
1.260000E+2	7.943401E-6	2.529464E-7	-4.447881E-1	2.485889E-1
1.265000E+2	3.847213E-6	2.417203E-7	-3.572373E-1	3.023905E-1
1.270000E+2	3.253260E-6	1.959019E-7	7.939689E-1	1.102614E-1
1.275000E+2	2.001004E-6	1.497888E-7	-3.956683E-1	4.330461E-2
1.280000E+2	1.850999E-6	1.609624E-7	3.075314E-1	9.680485E-2
1.285000E+2	1.959015E-6	1.224256E-7	1.367319E-1	7.055991E-2
1.290000E+2	2.001244E-6	1.016172E-7	2.112261E-1	7.187123E-2
1.295000E+2	2.132437E-6	8.953708E-8	2.091950E-1	5.832878E-2
1.300000E+2	2.435984E-6	4.878877E-8	4.088631E-1	4.129685E-2
1.305000E+2	2.471209E-6	5.080632E-8	2.875550E-1	4.607223E-2
1.310000E+2	2.359567E-6	5.497342E-8	2.149371E-1	3.276791E-2
1.315000E+2	2.374989E-6	3.234776E-8	2.553002E-1	2.972416E-2
1.320000E+2	2.497759E-6	5.253670E-8	3.413513E-1	2.722025E-2
1.325000E+2	2.705486E-6	4.897386E-8	2.466975E-1	2.007067E-2
1.330000E+2	3.003717E-6	5.193067E-8	3.404213E-1	3.631541E-2
1.335000E+2	3.158176E-6	6.027909E-8	3.713863E-1	2.908770E-2
1.340000E+2	3.455315E-6	4.033908E-8	2.974120E-1	3.109043E-2
1.345000E+2	3.913003E-6	5.574955E-8	4.177514E-1	3.324289E-2
1.350000E+2	4.351216E-6	7.425971E-8	4.100050E-1	2.801141E-2
1.355000E+2	4.615240E-6	7.392758E-8	4.587832E-1	2.717319E-2
1.360000E+2	5.498295E-6	6.275107E-8	5.104447E-1	2.271468E-2
1.365000E+2	5.889480E-6	9.637971E-8	6.076188E-1	1.653440E-2
1.370000E+2	7.150374E-6	1.005352E-7	7.327533E-1	1.343379E-2
1.375000E+2	8.571864E-6	1.106853E-7	8.499161E-1	1.571231E-2
1.380000E+2	1.007982E-5	1.885358E-7	1.090672E+0	1.523402E-2
1.385000E+2	1.129903E-5	1.705895E-7	1.305979E+0	1.493074E-2
1.390000E+2	1.093968E-5	2.304431E-7	1.581263E+0	1.532526E-2
1.395000E+2	1.106281E-5	2.264739E-7	1.908232E+0	1.467190E-2
1.400000E+2	9.571747E-6	1.441420E-7	2.102257E+0	1.997486E-2
1.405000E+2	8.361602E-6	2.011521E-7	2.326556E+0	1.968637E-2
1.410000E+2	7.081014E-6	1.355762E-7	2.413514E+0	1.740615E-2
1.415000E+2	6.008371E-6	1.217539E-7	2.560304E+0	2.214580E-2
1.420000E+2	5.192431E-6	1.020804E-7	2.616807E+0	2.640411E-2
1.425000E+2	4.535052E-6	1.237546E-7	2.650908E+0	3.314297E-2
1.430000E+2	4.100611E-6	7.545444E-8	2.721007E+0	3.755895E-2
1.435000E+2	3.699463E-6	8.127178E-8	2.514354E+0	2.915672E-1
1.440000E+2	3.362926E-6	6.739954E-8	2.824158E+0	3.447542E-2
1.445000E+2	3.074486E-6	7.795383E-8	2.196531E+0	3.977030E-1
1.450000E+2	3.024382E-6	5.448125E-8	2.819013E+0	3.908471E-2
1.455000E+2	2.736479E-6	7.986182E-8	2.558760E+0	2.933525E-1
1.460000E+2	2.470213E-6	6.700641E-8	2.527946E+0	2.848946E-1
1.465000E+2	2.188771E-6	6.201024E-8	2.578140E+0	2.950560E-1
1.470000E+2	2.108313E-6	5.895687E-8	2.861384E+0	2.924458E-2
1.475000E+2	1.993802E-6	5.900289E-8	2.574422E+0	2.918918E-1
1.480000E+2	2.052744E-6	6.768155E-8	9.689017E-1	5.953206E-1
1.485000E+2	1.925378E-6	6.700489E-8	1.955394E+0	4.683693E-1
1.490000E+2	1.643253E-6	7.436184E-8	4.580519E-1	6.239255E-1
1.495000E+2	1.676169E-6	8.887014E-8	7.408893E-1	6.157841E-1
