Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.200000E+2	1.360179E-6	6.032774E-8	2.027069E-1	1.238735E-1
1.205000E+2	1.383570E-6	8.659803E-8	2.957865E-1	1.068898E-1
1.210000E+2	1.422310E-6	9.673652E-8	3.170559E-1	7.745151E-2
1.215000E+2	1.773475E-6	1.019283E-7	3.643119E-1	1.043082E-1
1.220000E+2	1.334429E-6	9.220860E-8	1.176054E+0	4.382262E-2
1.225000E+2	2.124990E-6	2.043791E-7	-2.197764E-1	2.030769E-1
1.230000E+2	3.098194E-6	2.123313E-7	6.140163E-2	1.975782E-1
1.235000E+2	3.865310E-6	3.225098E-7	-2.055098E-1	3.406051E-1
1.240000E+2	7.398486E-6	3.972578E-7	2.386963E-1	3.808089E-1
1.245000E+2	1.728824E-5	7.937808E-7	-6.280419E-1	3.780998E-1
1.250000E+2	5.053470E-5	1.550670E-6	3.203098E-1	3.924306E-1
1.255000E+2	2.436178E-5	9.385923E-7	-4.328804E-1	4.080170E-1
1.260000E+2	8.843980E-6	3.906100E-7	3.810622E-2	3.687614E-1
1.265000E+2	3.792104E-6	3.430616E-7	-3.896277E-1	3.904732E-1
1.270000E+2	2.611469E-6	2.742470E-7	-1.220893E-1	3.077013E-1
1.275000E+2	2.388740E-6	2.448642E-7	3.435107E-1	1.371431E-1
1.280000E+2	2.158099E-6	1.596849E-7	2.827764E-1	1.016128E-1
1.285000E+2	2.175216E-6	1.590499E-7	2.022586E-1	7.386514E-2
1.290000E+2	2.103996E-6	1.155047E-7	2.379887E-1	5.913571E-2
1.295000E+2	2.415624E-6	6.731881E-8	1.771848E-1	7.359294E-2
1.300000E+2	2.489765E-6	8.868990E-8	2.679908E-1	4.219833E-2
1.305000E+2	2.431493E-6	6.288634E-8	2.937094E-1	4.203873E-2
1.310000E+2	2.660849E-6	5.000424E-8	2.204693E-1	3.703250E-2
1.315000E+2	2.834052E-6	5.075661E-8	3.467837E-1	2.829578E-2
1.320000E+2	3.030344E-6	4.078450E-8	3.216372E-1	2.456338E-2
1.325000E+2	3.228467E-6	4.423162E-8	3.036424E-1	2.342204E-2
1.330000E+2	3.459295E-6	4.777757E-8	3.512170E-1	3.277835E-2
1.335000E+2	3.799952E-6	6.299382E-8	4.204104E-1	2.524748E-2
1.340000E+2	4.002061E-6	5.701335E-8	3.730399E-1	3.623597E-2
1.345000E+2	4.700878E-6	5.533620E-8	4.786202E-1	2.423226E-2
1.350000E+2	5.096462E-6	8.391085E-8	4.834560E-1	1.681365E-2
1.355000E+2	5.593648E-6	6.183867E-8	5.137643E-1	2.059369E-2
1.360000E+2	6.443434E-6	7.926585E-8	6.185575E-1	1.762488E-2
1.365000E+2	7.358749E-6	1.065518E-7	6.975444E-1	1.278765E-2
1.370000E+2	8.451352E-6	1.188542E-7	8.221950E-1	1.158988E-2
1.375000E+2	1.013400E-5	1.317896E-7	1.021124E+0	1.433705E-2
1.380000E+2	1.142031E-5	1.710604E-7	1.245867E+0	1.515905E-2
1.385000E+2	1.165507E-5	2.077788E-7	1.521547E+0	1.561914E-2
1.390000E+2	1.136706E-5	2.267564E-7	1.782576E+0	1.828945E-2
1.395000E+2	1.029321E-5	1.916931E-7	2.088145E+0	1.917591E-2
1.400000E+2	8.888778E-6	1.820189E-7	2.276771E+0	1.613367E-2
1.405000E+2	7.712479E-6	1.396045E-7	2.412194E+0	1.972164E-2
1.410000E+2	6.270647E-6	1.295408E-7	2.493336E+0	2.383058E-2
1.415000E+2	4.918907E-6	1.012059E-7	2.603008E+0	2.327219E-2
1.420000E+2	4.557998E-6	1.325520E-7	2.694223E+0	3.505118E-2
1.425000E+2	4.279278E-6	1.183024E-7	2.705822E+0	2.905274E-2
1.430000E+2	3.835072E-6	7.003580E-8	2.733816E+0	4.247416E-2
1.435000E+2	3.365621E-6	8.626916E-8	2.462788E+0	2.862849E-1
1.440000E+2	3.090519E-6	1.014128E-7	2.834798E+0	4.593195E-2
1.445000E+2	2.764043E-6	8.267176E-8	2.549740E+0	2.903172E-1
1.450000E+2	2.627086E-6	5.653279E-8	2.860907E+0	4.279471E-2
1.455000E+2	2.491897E-6	9.429287E-8	2.143479E+0	3.894495E-1
1.460000E+2	2.276796E-6	8.103227E-8	2.529810E+0	2.849998E-1
1.465000E+2	2.060867E-6	4.909345E-8	2.912969E+0	3.357388E-2
1.470000E+2	1.986806E-6	7.457473E-8	2.545544E+0	2.924621E-1
1.475000E+2	1.923369E-6	7.783037E-8	2.204296E+0	3.974052E-1
1.480000E+2	1.840084E-6	6.935935E-8	1.927336E+0	4.709121E-1
1.485000E+2	1.614775E-6	6.179641E-8	8.215405E-1	6.105094E-1
1.490000E+2	1.504808E-6	7.493428E-8	2.075313E+0	3.910829E-1
1.495000E+2	1.581482E-6	9.969683E-8	1.951382E+0	4.638144E-1
