Frequency	Amplitude	Amplitude Error	Phase	Phase Error
1.300000E+2	1.955380E-6	1.249227E-7	3.459898E-2	1.108230E-1
1.302500E+2	1.814938E-6	3.031026E-8	1.017850E-1	5.457591E-2
1.305000E+2	2.257410E-6	6.716585E-8	2.919389E-1	6.349067E-2
1.307500E+2	2.422161E-6	8.649676E-8	2.513289E-1	4.844126E-2
1.310000E+2	2.450355E-6	7.980794E-8	2.857100E-1	4.709571E-2
1.312500E+2	2.425464E-6	6.543126E-8	2.522310E-1	4.267205E-2
1.315000E+2	2.496124E-6	6.432028E-8	3.427463E-1	1.963193E-2
1.317500E+2	2.559515E-6	4.770005E-8	2.752805E-1	3.752066E-2
1.320000E+2	2.625175E-6	7.157400E-8	3.070725E-1	1.750049E-2
1.322500E+2	2.730021E-6	5.436556E-8	3.117191E-1	2.055249E-2
1.325000E+2	2.840568E-6	5.222393E-8	3.168893E-1	2.284189E-2
1.327500E+2	2.981969E-6	3.715734E-8	2.929036E-1	2.174175E-2
1.330000E+2	3.036245E-6	5.170481E-8	3.402897E-1	2.680264E-2
1.332500E+2	3.121992E-6	6.811318E-8	3.385101E-1	3.433879E-2
1.335000E+2	3.275002E-6	5.733001E-8	3.611236E-1	3.046049E-2
1.337500E+2	3.324114E-6	5.244932E-8	2.921774E-1	2.904781E-2
1.340000E+2	3.579114E-6	6.921536E-8	3.457465E-1	3.904506E-2
1.342500E+2	3.804317E-6	6.525886E-8	4.032634E-1	3.238300E-2
1.345000E+2	3.755216E-6	7.092427E-8	3.353314E-1	3.261960E-2
1.347500E+2	4.080242E-6	5.958282E-8	3.891800E-1	3.696643E-2
1.350000E+2	4.152934E-6	7.089114E-8	4.240380E-1	2.848263E-2
1.352500E+2	4.359707E-6	7.704050E-8	3.758462E-1	3.168581E-2
1.355000E+2	4.646656E-6	6.706789E-8	4.404039E-1	2.376847E-2
1.357500E+2	4.807334E-6	7.950420E-8	4.250523E-1	2.600894E-2
1.360000E+2	5.083327E-6	7.233844E-8	4.295107E-1	2.436700E-2
1.362500E+2	5.437636E-6	1.027712E-7	5.447615E-1	2.078889E-2
1.365000E+2	5.691833E-6	1.015592E-7	5.096422E-1	1.918783E-2
