Frequency	Amplitude	Amplitude Error	Phase	Phase Error
8.500000E+2	3.478291E-7	1.202070E-8	7.429459E-1	1.157341E-1
8.502500E+2	2.780130E-7	3.388124E-8	7.302423E-1	6.308503E-2
8.505000E+2	2.973405E-7	1.429795E-8	6.222749E-1	7.673545E-2
8.507500E+2	2.756090E-7	1.957639E-8	8.013328E-1	8.693937E-2
8.510000E+2	3.268204E-7	2.200956E-8	7.233433E-1	5.980141E-2
8.512500E+2	3.252352E-7	1.916649E-8	6.561152E-1	6.019985E-2
8.515000E+2	3.275317E-7	1.728150E-8	7.889849E-1	6.587904E-2
8.517500E+2	3.552161E-7	1.264220E-8	6.504741E-1	4.699965E-2
8.520000E+2	3.374439E-7	1.370508E-8	6.574519E-1	5.417515E-2
8.522500E+2	3.416934E-7	1.435379E-8	6.782907E-1	5.283509E-2
8.525000E+2	3.302103E-7	1.190837E-8	6.176352E-1	4.489164E-2
8.527500E+2	3.154989E-7	1.362071E-8	5.911530E-1	4.628471E-2
8.530000E+2	3.253778E-7	1.392710E-8	6.320034E-1	5.315974E-2
8.532500E+2	3.624198E-7	1.066975E-8	6.886468E-1	4.147091E-2
8.535000E+2	3.528597E-7	1.248007E-8	6.444867E-1	4.081653E-2
8.537500E+2	3.654269E-7	1.362564E-8	6.634419E-1	4.135011E-2
8.540000E+2	3.632912E-7	1.094194E-8	6.760667E-1	5.472679E-2
8.542500E+2	3.634804E-7	1.415447E-8	5.953286E-1	4.498049E-2
8.545000E+2	4.068707E-7	1.670508E-8	7.112548E-1	5.424151E-2
8.547500E+2	3.922369E-7	9.083567E-9	7.148569E-1	4.005991E-2
8.550000E+2	4.290935E-7	1.299762E-8	7.490599E-1	3.453757E-2
8.552500E+2	4.203863E-7	1.840560E-8	7.303021E-1	4.162376E-2
8.555000E+2	4.548598E-7	1.342125E-8	7.534936E-1	3.656357E-2
8.557500E+2	4.418980E-7	1.900805E-8	8.453235E-1	3.908738E-2
8.560000E+2	4.570178E-7	1.640847E-8	8.585967E-1	3.649631E-2
8.562500E+2	4.401187E-7	1.486692E-8	1.060549E+0	3.741200E-2
8.565000E+2	3.936673E-7	1.565420E-8	1.055622E+0	2.756289E-2
8.567500E+2	3.576495E-7	1.216927E-8	1.147450E+0	2.717026E-2
8.570000E+2	3.153794E-7	1.352931E-8	1.124306E+0	2.558143E-2
8.572500E+2	3.163523E-7	1.071498E-8	1.042444E+0	4.832898E-2
8.575000E+2	3.026782E-7	1.522486E-8	8.895847E-1	6.119938E-2
8.577500E+2	2.803116E-7	1.332363E-8	9.494552E-1	4.507736E-2
8.580000E+2	2.882101E-7	1.334155E-8	7.641663E-1	6.170673E-2
8.582500E+2	3.146149E-7	1.278178E-8	7.924344E-1	4.830240E-2
8.585000E+2	3.141231E-7	1.337288E-8	7.172282E-1	4.686467E-2
8.587500E+2	3.715865E-7	4.817856E-8	5.714283E-1	1.917264E-1
8.590000E+2	6.585109E-7	1.245720E-7	4.925848E-1	2.475793E-1
8.592500E+2	3.390319E-7	1.310030E-8	6.990233E-1	5.032178E-2
8.595000E+2	3.496996E-7	1.633274E-8	7.594691E-1	5.183588E-2
8.597500E+2	3.527996E-7	1.526017E-8	7.829797E-1	3.786764E-2
8.600000E+2	3.492664E-7	1.201661E-8	6.515636E-1	4.265438E-2
8.602500E+2	3.641458E-7	1.150621E-8	6.945119E-1	4.319251E-2
8.605000E+2	3.562034E-7	1.029351E-8	6.518895E-1	4.632051E-2
8.607500E+2	3.708706E-7	1.019806E-8	6.694559E-1	4.410960E-2
8.610000E+2	3.816683E-7	1.290211E-8	7.286800E-1	4.264290E-2
8.612500E+2	3.821238E-7	1.271097E-8	6.219297E-1	4.611077E-2
8.615000E+2	3.886983E-7	1.098552E-8	6.512277E-1	3.267768E-2
8.617500E+2	4.017786E-7	8.871135E-9	6.463668E-1	2.474137E-2
8.620000E+2	3.942420E-7	1.669323E-8	6.627989E-1	4.189899E-2
8.622500E+2	4.118751E-7	1.056867E-8	6.168623E-1	3.886858E-2
8.625000E+2	4.150962E-7	1.187472E-8	5.928161E-1	4.558142E-2
8.627500E+2	4.154927E-7	9.329550E-9	5.760103E-1	4.028505E-2
8.630000E+2	4.202527E-7	9.387889E-9	6.261130E-1	3.033363E-2
8.632500E+2	4.273141E-7	1.280167E-8	5.597519E-1	3.918688E-2
8.635000E+2	4.412944E-7	9.706374E-9	5.847988E-1	4.370516E-2
8.637500E+2	4.544295E-7	1.029286E-8	6.533076E-1	2.992327E-2
8.640000E+2	4.839261E-7	9.527766E-9	6.491994E-1	2.273058E-2
8.642500E+2	4.873094E-7	9.095450E-9	6.161302E-1	3.225718E-2
8.645000E+2	4.973270E-7	1.181275E-8	6.509626E-1	2.836486E-2
8.647500E+2	5.212652E-7	1.152743E-8	6.569958E-1	2.325677E-2
8.650000E+2	5.190908E-7	1.208256E-8	6.383264E-1	2.440353E-2
8.652500E+2	5.214937E-7	1.099844E-8	5.482265E-1	2.488239E-2
8.655000E+2	5.702660E-7	1.465714E-8	6.143881E-1	2.457520E-2
8.657500E+2	5.947010E-7	1.632602E-8	6.276959E-1	2.623029E-2
8.660000E+2	5.942903E-7	1.133373E-8	6.098745E-1	1.857925E-2
8.662500E+2	6.126023E-7	1.595836E-8	6.040453E-1	2.434599E-2
8.665000E+2	6.387590E-7	1.366921E-8	6.130141E-1	2.483928E-2
8.667500E+2	6.622595E-7	7.623537E-9	6.114561E-1	1.707745E-2
8.670000E+2	6.890757E-7	1.466226E-8	6.626718E-1	2.167321E-2
8.672500E+2	7.158235E-7	1.672832E-8	6.545371E-1	2.117763E-2
