Probennummer;Von;Bis;delta_D;delta_D_stDev;delta_18O;delta_18O_stDev;delta_17O;delta_17O_stDev;gemessen am;Messgerät
558;06.10.2021;13.10.2021;-38,796;0,413;-6,357;0,031;;;22.01.2022;Picarro
565;03.11.2021;04.11.2021;-89,929;0,677;-12,592;0,010;;;23.01.2022;Picarro
566;04.11.2021;05.11.2021;-68,219;0,399;-10,193;0,033;;;23.01.2022;Picarro
568;09.11.2021;14.11.2021;-35,071;0,327;-6,017;0,068;;;23.01.2022;Picarro
569;14.11.2021;19.11.2021;-48,740;0,362;-7,346;0,069;;;23.01.2022;Picarro
570;19.11.2021;22.11.2021;-42,268;0,317;-7,160;0,076;;;23.01.2022;Picarro
571;22.11.2021;29.11.2021;-76,991;0,458;-11,256;0,046;;;23.01.2022;Picarro
572;29.11.2021;01.12.2021;-58,950;0,319;-9,264;0,067;;;23.01.2022;Picarro
573;01.12.2021;04.12.2021;-95,150;0,056;-12,811;0,034;;;23.01.2022;Picarro
574;04.12.2021;07.12.2021;-90,069;0,252;-11,976;0,066;;;24.01.2022;Picarro
575;07.12.2021;13.12.2021;-68,821;0,492;-10,495;0,035;;;24.01.2022;Picarro
577;17.12.2021;29.12.2021;-75,206;0,192;-10,635;0,078;;;24.01.2022;Picarro
578;29.12.2021;02.01.2022;-78,225;0,234;-10,428;0,074;;;24.01.2022;Picarro
579;02.01.2022;03.01.2022;-32,085;0,247;-5,399;0,054;;;24.01.2022;Picarro
580;03.01.2022;05.01.2022;-76,993;0,123;-10,749;0,072;;;24.01.2022;Picarro
581;05.01.2022;10.01.2022;-89,058;0,276;-12,594;0,000;;;24.01.2022;Picarro
582;10.01.2022;18.01.2022;-28,452;0,253;-5,346;0,079;;;24.01.2022;Picarro
583;18.01.2022;21.01.2022;-50,120;0,120;-7,751;0,020;;;24.01.2022;Picarro
585;25.01.2022;31.01.2022;-38,272;0,088;-5,636;0,023;;;19.07.2022;Picarro
587;02.02.2022;07.02.2022;-61,944;0,119;-8,779;0,021;;;19.07.2022;Picarro
589;09.02.2022;15.02.2022;-48,050;0,784;-6,454;0,567;;;19.07.2022;Picarro
590;15.02.2022;16.02.2022;-86,317;0,170;-10,967;0,021;;;19.07.2022;Picarro
591;16.02.2022;21.02.2022;-20,464;0,367;-3,522;0,069;;;19.07.2022;Picarro
592;21.02.2022;01.03.2022;-25,154;0,156;-4,457;0,045;;;19.07.2022;Picarro
594;14.03.2022;16.03.2022;-47,519;0,152;-7,198;0,023;;;19.07.2022;Picarro
595;16.03.2022;31.03.2022;-38,945;0,094;-6,180;0,021;;;19.07.2022;Picarro
596;31.03.2022;04.04.2022;-105,455;4,389;-13,114;1,512;;;20.07.2022;Picarro
597;04.04.2022;07.04.2022;-23,719;3,642;-3,272;1,796;;;20.07.2022;Picarro
598;07.04.2022;08.04.2022;-53,062;0,317;-6,731;0,103;;;20.07.2022;Picarro
599;08.04.2022;14.04.2022;-122,238;0,270;-15,891;0,040;;;20.07.2022;Picarro
600;14.04.2022;25.04.2022;-45,361;1,579;-5,655;0,846;;;20.07.2022;Picarro
601;25.04.2022;26.04.2022;-71,557;0,118;-10,265;0,041;;;20.07.2022;Picarro
603;29.04.2022;03.05.2022;-35,069;0,488;-5,126;0,430;;;20.07.2022;Picarro
604;03.05.2022;09.05.2022;-31,889;1,514;-4,417;0,167;;;20.07.2022;Picarro
607;25.05.2022;31.05.2022;-35,687;0,787;-5,073;0,150;;;20.07.2022;Picarro
608;31.05.2022;07.06.2022;-23,849;0,225;-3,179;0,094;;;20.07.2022;Picarro
609;07.06.2022;09.06.2022;-31,611;0,356;-3,429;0,000;;;20.07.2022;Picarro
610;09.06.2022;27.06.2022;-45,182;0,164;-6,598;0,067;;;20.07.2022;Picarro
611;27.06.2022;01.07.2022;-44,357;0,316;-5,935;0,056;;;20.07.2022;Picarro
;;;;;;;;;;
;;;;;;;;;;
