Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.352920E+16	-60.754169	1.546569E-2	-8.779043	1.767356E-2	-4.515324	8.656029E-2	2.31536500	1.00112143	2
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	3.012210E+16	-174.737793	6.164849E-1	-22.675577	8.762734E-2	-11.919826	9.334945E-2	2.66431500	1.00055258	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	2.714277E+16	-49.848903	1.137471E+0	-8.255043	1.051867E-1	-4.231882	7.462918E-2	2.96014333	1.00004025	3
sample40_1	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_1	2.786042E+16	-60.335997	4.122677E-1	-8.482129	8.399274E-2	-4.363994	3.647762E-2	2.84520750	1.00016529	4
sample40_2	2.647180E+16	-59.136965	4.001397E-1	-8.193092	4.734013E-2	-4.295173	1.230592E-1	3.02876000	0.99992987	4
sample50_2	2.629015E+16	-57.993611	4.034128E-1	-7.737004	9.078676E-2	-4.250554	5.868395E-2	2.94061750	0.99989928	4
sample40_3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	2.642675E+16	-60.684798	5.177103E-1	-8.586615	9.235062E-2	-4.483997	6.058376E-2	2.82824500	0.99995114	4
Colle	2.520267E+16	-48.836298	7.173644E-1	-7.918342	8.680920E-2	-4.334121	5.151717E-2	2.87133500	0.99975969	4
Sammelprobe	2.695602E+16	2.139057	2.004753E-1	7.968857	6.358035E-2	4.139350	9.437548E-2	2.82617000	1.00005488	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.535688E+16	-175.028279	6.057266E-1	-23.087626	1.220389E-1	-12.316743	1.139744E-1	2.93673000	0.99972114	6
sample50_3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_3	1.667845E+16	-55.859896	8.274098E-1	-5.664231	2.597232E-1	-3.442549	6.685662E-2	3.12808500	0.99856208	4
sample40_4	2.787810E+16	-56.764959	0.000000E+0	-7.466233	0.000000E+0	-3.559859	0.000000E+0	2.59400000	1.00008281	1
sample50_4	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample40_5	2.439963E+16	-54.756035	6.436721E-1	-6.796330	1.144211E-1	-3.238439	1.478526E-1	2.94623333	0.99945182	3
sample50_5	1.949090E+16	-50.209339	3.230875E-1	-4.445796	1.551935E-1	-2.248080	9.265065E-2	2.85568000	0.99875618	3
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.098017E+16	-174.673212	7.444105E-1	-22.677253	4.549739E-2	-11.909457	1.910991E-2	2.92711667	0.99893663	3
VE	2.556060E+16	-61.129214	0.000000E+0	-8.694196	0.000000E+0	-4.591843	0.000000E+0	2.73646000	0.99956166	1
VE	2.632505E+16	-61.010715	5.747785E-1	-8.757342	1.831336E-1	-4.597946	3.395438E-2	2.67375000	0.99966797	4
Colle	2.518320E+16	-48.706859	2.499351E-1	-7.981209	1.349204E-1	-4.110754	8.033477E-2	2.67983000	0.99951117	2
Sammelprobe	3.142165E+16	2.918904	2.091794E+0	8.320275	4.135346E-1	4.186632	2.886060E-1	2.45965500	1.00058321	2
sample40_6	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_6	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample40_7	1.304055E+16	-54.819908	2.515396E-1	-5.178633	3.160914E-1	-2.991049	1.345386E-1	2.56808500	0.99816042	2
sample50_7	2.728945E+16	-46.343997	1.199208E+0	-4.600590	2.194946E-1	-2.040859	1.460979E-1	2.83996000	0.99983280	2
Sammelprobe	3.079333E+16	1.341293	1.239480E+0	7.625224	1.969658E-1	4.133203	1.277976E-1	2.37488333	1.00051043	3
VE	1.752747E+16	-60.710197	4.429727E-1	-8.685500	1.734944E-1	-4.509835	7.878921E-2	2.96083500	0.99869471	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	1.377283E+16	-49.320000	7.052023E-2	-8.030000	1.171955E-1	-4.270000	5.909871E-2	2.61395000	0.99833006	3
sample40_1	3.323340E+16	-57.427990	0.000000E+0	50.836799	0.000000E+0	-4.787280	0.000000E+0	2.29594000	1.00099348	1
sample50_1	3.274550E+16	-57.857037	1.325553E-1	49.452976	5.555520E-2	-4.742228	4.400586E-2	2.23337000	1.00095617	2
sample40_2	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_2	3.278030E+16	-55.034166	0.000000E+0	31.363762	0.000000E+0	-4.367125	0.000000E+0	2.39412000	1.00095617	1
sample40_3	2.746060E+16	-55.420670	1.607344E+0	31.347240	1.330090E-1	-4.512234	2.831404E-3	2.68780000	1.00012272	2
VE	9.799005E+15	-60.730000	1.205574E+0	-8.700000	3.727132E-1	-4.510000	2.337065E-1	2.47372500	0.99817898	2
Colle	1.591431E+16	-49.666515	1.337511E-1	-6.789042	1.936195E+0	-3.873019	5.040956E-1	2.80250000	0.99881809	2
Sammelprobe	3.026935E+16	2.384627	2.080977E+0	7.311552	5.092771E-1	3.956434	1.794903E-1	2.50888500	1.00072570	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.466510E+16	-174.638112	1.877695E+0	-23.252510	1.764370E-1	-12.113415	1.824529E-1	2.94765500	0.99976899	2
sample50_3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample40_4	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_4	3.126767E+16	-54.097809	6.240026E-1	-8.129712	1.800414E-1	-3.614784	1.211159E-1	2.09146667	1.00101658	3
sample40_5	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample50_5	3.308920E+16	-50.847994	0.000000E+0	-7.478083	0.000000E+0	-3.169227	0.000000E+0	2.05473000	1.00138808	1
Alpen	2.252590E+16	-173.806605	0.000000E+0	-22.339856	0.000000E+0	-11.909897	0.000000E+0	2.88074000	0.99960418	1
Alpen	2.685850E+16	-175.640338	0.000000E+0	-22.719511	0.000000E+0	-11.900285	0.000000E+0	2.50750000	1.00025843	1
VE	2.646860E+16	-61.999260	0.000000E+0	-9.798759	0.000000E+0	-4.715420	0.000000E+0	2.34565000	1.00021053	1
VE	2.403527E+16	-59.372786	1.336979E+0	-9.217078	1.098719E+0	-4.635122	1.533520E-1	2.41160667	0.99988244	3
Colle	1.097932E+16	-50.259717	8.097977E-1	-6.510258	4.642006E-1	-3.867980	1.619272E-1	2.65395250	0.99830488	4
Sammelprobe	3.259807E+16	2.104327	7.286015E-1	7.731005	1.590378E-1	4.124725	8.607304E-2	2.14849500	1.00122407	4
sample40_6	1.543353E+16	-52.187649	6.911139E-1	-5.867249	1.004899E-1	-3.510815	3.851174E-2	2.86222667	0.99864829	3
sample50_6	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
sample40_7	3.283160E+16	-51.356405	1.085492E+0	-7.452920	1.383720E-1	-3.623824	7.839472E-2	2.31932750	1.00119608	4
sample50_7	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	3.206345E+16	-48.344610	1.092531E+0	-9.300747	1.498135E-1	-4.636745	4.897933E-2	2.33525250	1.00101747	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.284205E+16	-174.506306	2.583723E+0	-22.581332	5.859958E-1	-11.829744	1.957621E-1	3.12577000	0.99952977	2
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	3.381467E+16	2.553534	2.436479E-1	8.059821	4.367371E-2	4.232536	9.596513E-2	2.38786000	1.00139209	4
VE	2.866605E+16	-61.377228	5.198812E-1	-8.878489	1.732674E-1	-4.672792	4.874943E-2	2.74706500	1.00040881	4
tap water	3.080140E+16	-48.932061	0.000000E+0	-4.911984	0.000000E+0	-2.843948	0.000000E+0	2.57613000	1.00082827	1
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
