Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
tap water	3.414470E+16	-52.123540	1.528076E-1	-5.237523	1.189209E-2	-3.025001	5.109330E-2	2.37563000	1.00140942	2
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	3.304680E+16	-52.448264	0.000000E+0	-5.243247	0.000000E+0	-3.480924	0.000000E+0	2.36595000	1.00142543	1
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	3.330700E+16	-51.892093	0.000000E+0	-5.194676	0.000000E+0	-3.738759	0.000000E+0	2.26542000	1.00130807	1
tap water	3.262920E+16	-52.092461	0.000000E+0	-5.233560	0.000000E+0	-3.754884	0.000000E+0	2.52880000	1.00133474	1
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	3.493839E+16	-51.082806	3.472826E-1	-4.939057	6.881961E-2	-4.325490	1.582519E-2	2.13558714	1.00186080	7
tap water	3.497253E+16	-51.473991	1.186107E-1	-5.020430	2.017836E-3	-4.297446	5.156654E-2	2.13079667	1.00185419	3
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
