Sample Name;von;bis;Processed Delta 2H;Processed Delta 2H StDev;Processed Delta 18O;Processed Delta 18O StDev;Processed Delta 17O;Processed Delta 17O StDev;gemessen am;Messgerät;;
S2-78;01.05.2020;01.06.2020;-39,950;0,157;-6,125;0,042;;;   14.10.2021;Picarro;;
S2-79;01.06.2020;01.07.2020;-42,233;0,192;-6,484;0,014;;;   14.10.2021;Picarro;;
S2-80;01.07.2020;03.08.2020;-33,707;0,053;-4,948;0,029;;;   14.10.2021;Picarro;;
S2-81;03.08.2020;31.08.2020;-38,730;0,240;-5,654;0,076;;;   14.10.2021;Picarro;;
S2-82;31.08.2020;30.09.2020;-66,142;0,391;-9,747;0,128;;;   14.10.2021;Picarro;;
S2-83;30.09.2020;02.11.2020;-49,956;0,044;-7,739;0,026;;;   14.10.2021;Picarro;;
S2-84;02.11.2020;01.12.2020;-41,927;0,036;-6,488;0,019;;;   14.10.2021;Picarro;;
S2-85;01.12.2020;02.01.2021;-97,067;0,043;-13,259;0,016;;;   14.10.2021;Picarro;;
S2-86;02.01.2021;01.03.2021;-77,275;0,049;-10,740;0,019;;;   14.10.2021;Picarro;;
S2-87;01.03.2021;06.04.2021;-45,758;0,222;-6,916;0,102;;;   14.10.2021;Picarro;;
S2-88;06.04.2021;03.05.2021;-36,026;0,065;-6,300;0,000;;;   14.10.2021;Picarro;;
S2-89;03.05.2021;09.06.2021;-50,958;0,093;-7,014;0,069;;;   14.10.2021;Picarro;;
S2-90;09.06.2021;02.07.2021;-52,863;0,048;-7,546;0,035;;;   14.10.2021;Picarro;;
S2-91;02.07.2021;09.08.2021;-48,057;0,233;-6,864;0,132;;;   14.10.2021;Picarro;;
S2-92;09.08.2021;03.09.2021;-49,434;0,011;-7,258;0,042;;;   14.10.2021;Picarro;;
S2-93;13.10.2021;02.11.2021;-32,873;0,310;-5,454;0,032;;;   14.01.2022;Picarro;;
S2-94;02.11.2021;04.12.2021;-77,565;0,457;-11,253;0,037;;;   14.01.2022;Picarro;;
;;;;;;;;;;;;
