Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
50;4	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
50;4	2.926303E+16	-51.486179	4.946643E-1	-5.920884	7.170179E-2	-2.988795	6.317162E-2	2.71249000	0.99985335	3
50;5	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
50;6	2.917360E+16	-47.395214	3.275536E-1	-4.287679	6.507028E-2	-2.229049	1.386822E-2	2.80010500	0.99979134	2
50;7	2.941840E+16	-43.053153	5.319871E-1	-3.203161	8.844828E-2	-1.681219	4.117266E-2	2.74235250	0.99984050	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	2.919832E+16	-60.972921	2.543979E-1	-8.706486	7.760538E-2	-4.585846	3.439838E-2	2.65704000	0.99975148	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
50;7	2.914875E+16	-42.912085	7.008111E-1	-3.155729	6.189585E-2	-1.773088	6.621899E-2	2.64307750	0.99971162	4
50;6	2.908840E+16	-44.925070	0.000000E+0	-3.923291	0.000000E+0	-2.201837	0.000000E+0	2.53374000	0.99971162	1
50;5	2.901617E+16	-49.352494	5.180777E-1	-5.069174	7.198428E-2	-2.781222	2.283007E-2	2.64580750	0.99970897	4
50;4	2.923267E+16	-51.916386	4.725585E-1	-5.919703	6.532354E-2	-3.123221	6.574964E-2	2.64039250	0.99975015	4
50;3	2.944527E+16	-54.634541	6.266324E-1	-6.846214	6.718110E-2	-3.563346	5.332622E-2	2.55172750	0.99980330	4
VE	2.904603E+16	-60.485187	4.414425E-1	-8.693509	3.053296E-2	-4.432802	2.613751E-2	2.54762667	0.99973288	3
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	2.915690E+16	1.842722	0.000000E+0	7.957872	0.000000E+0	4.160857	0.000000E+0	2.59488000	0.99981791	1
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.957848E+16	-174.901086	5.172844E-1	-22.706150	1.198520E-1	-11.918997	7.194577E-2	2.54442400	0.99985618	5
50;2	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
50;2	2.920965E+16	-56.874282	5.052332E-1	-7.450854	1.358801E-1	-3.843713	8.632254E-2	2.51769500	0.99981260	4
50;1	2.957100E+16	-58.381868	6.709899E-1	-8.061819	8.083236E-3	-4.125046	3.361362E-3	2.39507500	0.99989499	2
40;7	2.941505E+16	-51.165968	4.343255E-1	-5.787235	7.814534E-2	-2.915681	3.075043E-2	2.45513750	0.99985246	4
40;6	2.936940E+16	-53.190698	6.376834E-1	-6.276538	1.365568E-1	-3.182254	1.612055E-2	2.35682000	0.99986575	2
40;5	2.939932E+16	-53.903032	4.609820E-1	-6.641833	5.006706E-2	-3.336720	5.963608E-2	2.38157000	0.99988303	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.826012E+16	-174.740000	6.064206E-1	-22.680000	1.538780E-1	-11.920000	7.891464E-2	2.57388250	0.99974351	4
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	2.935600E+16	-49.569616	4.462840E-1	-8.236789	1.008099E-1	-4.236817	6.258963E-2	2.38542500	0.99998271	4
Sammelprobe	2.911412E+16	2.183605	5.796581E-1	7.983258	9.747740E-2	4.158836	6.748252E-2	2.46188500	0.99987373	4
40;4	2.922762E+16	-55.556478	3.140557E-1	-7.358254	4.633010E-2	-3.574638	7.444796E-2	2.44693000	0.99994018	4
40;3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
40;2	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
40;1	2.991402E+16	-59.557547	7.929829E-1	-8.331498	1.630297E-1	-4.223756	9.018477E-2	2.41619500	1.00015288	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	3.022255E+16	-60.523989	6.897283E-1	-8.496469	8.466127E-2	-4.542019	3.520234E-2	2.25152250	1.00023399	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.979100E+16	-174.691295	4.057909E-1	-22.676469	5.413897E-2	-11.919359	7.845116E-2	2.39540333	1.00019897	3
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	2.895760E+16	-48.872650	1.822522E-1	-7.968349	5.708109E-2	-4.407869	3.245546E-2	2.39701000	1.00012894	2
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	2.919152E+16	-33.266723	7.370911E-1	1.355518	9.975555E-2	0.387680	1.059064E-1	2.37274500	1.00020008	8
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	2.910225E+16	-33.327365	3.483498E-1	1.365035	6.843405E-2	0.266220	6.507480E-2	2.42010625	1.00021072	8
tap water	2.894546E+16	-33.409012	6.395332E-1	1.371149	6.367375E-2	0.253403	5.554689E-2	2.43694600	1.00018372	5
tap water	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
tap water	2.894750E+16	-32.678745	0.000000E+0	1.469365	0.000000E+0	0.177279	0.000000E+0	2.34165000	1.00015819	1
