Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
VE	3.021517E+16	-60.872741	7.508657E-1	-8.675007	9.926941E-2	-4.616563	6.902011E-2	2.29518750	1.00039626	4
Colle	2.951167E+16	-49.190542	5.142642E-1	-8.053932	5.424623E-2	-4.169587	6.290759E-2	2.40212500	1.00024995	4
Alpen	2.914365E+16	-174.726717	3.736153E-1	-22.681061	5.518489E-2	-11.913849	4.407359E-2	2.62526000	1.00013160	2
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
40;1	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
40;2	2.920270E+16	-57.545005	3.874424E-1	-7.592628	1.090298E-1	-4.290802	3.196726E-2	2.52043500	1.00014357	4
40;3	2.927615E+16	-56.678436	6.098075E-1	-7.359676	9.624214E-2	-4.089569	1.268790E-1	2.51028750	1.00014490	4
40;4	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
40;5	3.003830E+16	-54.511972	1.002641E-1	-6.884719	2.840183E-2	-3.628229	2.786745E-2	2.46788500	1.00024330	2
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.966497E+16	-174.740000	4.607613E-1	-22.680000	5.791009E-2	-11.920000	5.816357E-2	2.56569667	1.00016883	3
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Colle	2.910860E+16	-49.320000	4.570086E-1	-8.030000	5.004176E-2	-4.270000	7.883273E-2	2.58910500	1.00005981	2
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	2.936107E+16	-60.730000	4.213965E-1	-8.700000	1.293092E-1	-4.510000	4.160812E-2	2.61126667	1.00007133	3
40;6	2.933980E+16	-53.067605	5.114546E-1	-7.004122	5.849925E-2	-3.784332	3.220024E-2	2.66845000	1.00005316	4
40;7	2.954337E+16	-51.839651	5.381184E-1	-6.665671	7.010376E-2	-3.632487	5.622071E-2	2.59699750	1.00008108	4
50;1	2.905967E+16	-59.721250	1.794495E-1	-8.459605	1.429651E-2	-4.489727	9.627268E-2	2.70665750	0.99998404	4
50;2	2.914350E+16	-57.457423	5.168407E-1	-7.924229	5.632571E-2	-4.289754	3.940804E-2	2.65365750	0.99998537	4
50;3	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	2.932410E+16	2.140000	7.046697E-1	7.980000	9.020747E-2	4.160000	6.608205E-2	2.66073000	0.99999334	4
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
