Sample Name	H2O [N/cm^3]	Processed Delta 2H	Processed Delta 2H StDev	Processed Delta 18O	Processed Delta 18O StDev	Processed Delta 17O	Processed Delta 17O StDev	L1 Narrow Band Metric	L1 Broad Band Metric	Averaged #
VE	2.902010E+16	-60.587158	6.340410E-1	-8.785057	3.140824E-2	-4.504001	1.001881E-1	2.50201250	1.00004487	4
105	2.906122E+16	-31.494722	5.169005E-1	-5.800939	4.634701E-2	-3.348192	7.317192E-2	2.48621500	1.00005684	4
102	2.901852E+16	-22.150757	5.102130E-1	-3.951111	5.218687E-2	-2.670707	4.835266E-2	2.52538000	1.00007146	4
641	2.901042E+16	-64.871163	1.161360E-1	-9.956885	6.547036E-2	-4.930588	5.465004E-2	2.63151500	1.00004620	4
603	2.906860E+16	-34.908656	6.063177E-1	-6.126761	4.405666E-2	-3.455611	5.764392E-2	2.46754000	1.00009141	4
60;7	2.909220E+16	-28.189210	3.080979E-1	0.843577	6.388954E-2	-0.893638	6.185110E-2	2.77605000	1.00010736	4
VE	2.913620E+16	-60.869351	1.111608E-1	-8.581530	4.375245E-2	-4.515713	8.010403E-3	2.60111000	1.00012864	2
Colle	2.920955E+16	-49.323491	3.110989E-1	-8.063412	1.105941E-1	-4.270286	6.102071E-2	2.61948500	1.00014859	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.912597E+16	-174.697254	3.232421E-1	-22.689715	1.119362E-1	-11.949827	8.783472E-2	2.71342000	1.00010072	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Sammelprobe	2.905772E+16	2.243521	7.170667E-1	7.971077	6.417651E-2	4.132345	8.000018E-2	2.53044500	1.00010869	4
60;6	2.924895E+16	-35.516408	2.528176E-1	-0.428343	6.204913E-2	-0.225690	6.270357E-2	2.53403750	1.00012199	4
60;5	2.901552E+16	-40.995291	7.775879E-1	-2.133125	1.250910E-1	-1.105517	7.071249E-2	2.61568250	1.00009008	4
60;4	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
60;3	2.903910E+16	-51.003592	7.025943E-1	-5.304001	1.037525E-1	-2.810208	9.815855E-2	2.59730000	1.00010869	4
60;2	2.870462E+16	-55.081802	9.166504E-1	-6.687999	2.093951E-1	-3.510051	4.769321E-2	2.69224500	1.00003689	4
Sammelprobe	2.881112E+16	2.145627	3.781284E-1	7.995234	7.000092E-2	4.146319	6.209868E-2	2.65978250	1.00007146	4
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.871150E+16	-174.736896	5.767053E-1	-22.661703	8.844822E-2	-11.935831	4.626720E-2	2.69301000	1.00001163	4
VE	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	2.867037E+16	-60.787161	7.107380E-1	-8.698262	7.633065E-2	-4.516318	5.731551E-2	2.49626667	1.00001695	3
Colle	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
60;1	2.895112E+16	-58.252772	7.696303E-1	-7.962511	1.552337E-1	-4.217296	9.421302E-2	2.59270000	1.00005019	4
K007	2.913837E+16	-41.734448	3.431266E-1	-4.774526	7.530252E-2	-2.534141	5.695209E-2	2.53567000	1.00009806	4
Colle	2.883435E+16	-49.268087	4.919806E-1	-8.031659	1.008916E-1	-4.263890	3.833823E-2	2.49104000	1.00004221	4
Sammelprobe	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
VE	2.861970E+16	-60.532950	1.758158E-1	-8.522801	7.096460E-2	-4.521353	1.781909E-3	2.63606000	0.99989997	2
Alpen	NaN	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	-0.000000E+0	NaN	NaN	0
Alpen	2.793487E+16	-174.757357	4.810143E-1	-22.683910	8.705325E-2	-11.919611	5.181774E-2	2.74668250	0.99994516	4
tap water	2.855005E+16	-34.348705	4.728261E-1	1.341819	5.435099E-2	0.487348	7.748287E-2	2.58457000	1.00005019	4
tap water	2.864156E+16	-33.628959	5.077203E-1	1.390950	6.804349E-2	0.509858	1.124430E-1	2.65754000	1.00006178	7
tap water	2.866200E+16	-33.595528	7.377065E-1	1.434912	1.355638E-1	0.575670	1.170909E-1	2.71860286	1.00007545	7
